Origen,Destino,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,Oaxaca,157,209,108,215,358,466,411,360,344,344,322,299,276,310,76,0,0,0,0,0,0,60,11,0,0,157,107,38
,Palenque,0,0,0,0,68,173,105,124,107,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0
,Poza Rica,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
,Puebla,5,72,106,9,0,0,0,0,0,0,0,0,0,0,0,286,481,634,766,364,316,300,294,352,409,640,691,786
,Puerto Vallarta,3,2,9,3,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,1,1,0,3,0,0,1,1,0
,Querétaro,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,153,0,18,0,21,124,188,181,290,326,375,489
,Rancho la Gaviota,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rancho la Nogalera,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Reynosa,0,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,143,144,255,209,233,228
,Saltillo,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,San José Del Cabo,0,0,0,0,0,2,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0
,San Luis Potosí,0,8,8,0,0,0,0,0,0,26,0,5,7,5,4,5,6,8,9,9,7,19,118,124,156,162,241,248
,Tampico,2,0,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,62,119,134,151,154,170,166
,Tapachula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
,Terrero de Basonopa,0,0,0,0,8,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Tijuana,191,254,54,10,18,9,37,191,29,59,250,481,64,4,0,61,122,0,0,0,0,75,119,68,80,125,119,173
,Toluca,0,0,1,0,0,0,0,0,0,3,1,2,0,124,1727,2240,2660,1983,2130,1499,971,1421,912,924,493,428,362,491
,Torreón,9,28,26,5,7,7,5,12,12,14,17,18,5,3,1,0,0,7,6,5,9,76,78,0,0,3,61,119
,Tuxtla Gutiérrez,157,174,139,272,359,413,433,409,331,344,338,326,431,338,168,106,0,2,1,0,111,167,167,244,373,572,561,493
,Veracruz,181,41,3,102,204,216,362,361,452,397,399,352,380,291,362,387,246,602,747,280,368,456,573,623,744,765,690,705
,Villahermosa,266,357,209,366,419,433,471,468,640,363,523,383,425,333,263,317,270,246,235,4,91,161,164,377,468,620,343,298
,Zacatecas,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
