"aeropuerto",1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"   Regulares",5476,5409,3557,4295,6573,7739,446915,15121,9488,7622,7169,7230,8237,9122,8069,7102,6791,6562,7303,6725,7403,9824,8717,7421,7269,6271,6959,7108,7785,8671,10151,11458,11225,11455
"          Nacionales Regulares",4852,4657,2856,3500,5582,6132,369837,12965,8254,7007,6753,6566,7442,8457,7395,6383,6302,6171,6829,6247,6696,9238,8222,6928,6756,5804,6521,6666,7254,7966,9142,10368,10224,10619
"          Internacionales Regulares",624,752,701,795,991,1607,77078,2156,1234,615,416,664,795,665,674,719,489,391,474,478,707,586,495,493,513,467,438,442,531,705,1009,1090,1001,836
"   Charters",7,9,18,23,56,58,4989,0,118,285,410,894,1390,1019,1216,496,428,346,291,312,88,120,88,68,51,36,25,106,154,52,21,17,14,21
"         Charters Nacionales",0,0,5,2,9,14,1953,0,54,44,2,73,31,65,7,412,362,270,178,158,25,78,43,32,30,30,20,31,33,29,17,10,6,7
"         Charters Internacionales",0,0,13,21,47,44,3036,0,64,241,408,821,1359,954,1209,84,66,76,113,154,63,42,45,36,21,6,5,75,121,23,4,7,8,14
"Mexicali, B.C.",814,828,541,519,783,779,120032,1712,1951,1588,2043,2494,2659,2779,3328,2890,2634,3654,4010,3785,3445,3717,3108,2875,2947,2964,2715,2502,2637,2956,3100,3020,4285,4029
"   Nacionales",,,541,518,763,777,119867,1603,1775,1588,2043,2494,2659,2779,3328,2878,2634,3654,4010,3785,3445,3717,3106,2872,2907,2964,2715,2502,2637,2955,3099,3020,4284,4029
"   Internacionales",,,0,1,20,2,165,109,176,0,0,0,0,0,0,12,0,0,0,0,0,0,2,3,40,0,0,0,0,1,1,0,1,0
"   Regulares",814,828,541,519,763,779,119970,1712,1932,1568,2042,2488,2659,2779,3328,2890,2634,3654,4006,3785,3443,3717,3105,2873,2947,2964,2715,2502,2637,2956,3100,3010,4285,4023
"          Nacionales Regulares",811,826,541,518,745,777,119805,1603,1756,1568,2042,2488,2659,2779,3328,2878,2634,3654,4006,3785,3443,3717,3103,2872,2907,2964,2715,2502,2637,2955,3099,3010,4284,4023
"          Internacionales Regulares",3,2,0,1,18,2,165,109,176,0,0,0,0,0,0,12,0,0,0,0,0,0,2,1,40,0,0,0,0,1,1,0,1,0
"   Charters",0,0,0,0,20,0,62,0,19,20,1,6,0,0,0,0,0,0,4,0,2,0,3,2,0,0,0,0,0,0,0,10,0,6
"         Charters Nacionales",0,0,0,0,18,0,62,0,19,20,1,6,0,0,0,0,0,0,4,0,2,0,3,0,0,0,0,0,0,0,0,10,0,6
"         Charters Internacionales",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Minatitlán, Ver.",940,751,708,918,1933,2322,116666,2995,2880,2135,1299,1078,1059,1418,1276,968,991,1023,1017,1701,1789,2830,2176,1472,1003,1235,1361,1401,1843,1879,1863,1486,1378,1065
"   Nacionales",,,708,918,1925,2316,115061,2995,2880,2135,1299,1078,1059,1418,1276,968,990,1023,1017,1701,1789,2830,2176,1472,1002,1235,1357,1400,1843,1879,1853,1486,1378,1065
"   Internacionales",,,0,0,8,6,1605,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,4,1,0,0,10,0,0,0
"   Regulares",940,751,708,916,1933,2322,116426,2995,2879,2135,1297,1075,1058,1418,1276,966,984,1019,1003,1693,1779,2821,2168,1472,999,1232,1354,1399,1839,1877,1846,1484,1378,1065
"          Nacionales Regulares",937,751,708,916,1925,2316,114821,2995,2879,2135,1297,1075,1058,1418,1276,966,983,1019,1003,1693,1779,2821,2168,1472,999,1232,1352,1399,1839,1877,1846,1484,1378,1065
"          Internacionales Regulares",3,0,0,0,8,6,1605,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"   Charters",0,0,0,2,0,0,240,0,1,0,2,3,1,0,0,2,7,4,14,8,10,9,8,0,4,3,7,2,4,2,17,2,0,0
"         Charters Nacionales",0,0,0,2,0,0,240,0,1,0,2,3,1,0,0,2,7,4,14,8,10,9,8,0,3,3,5,1,4,2,7,2,0,0
"         Charters Internacionales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,10,0,0,0
"Monterrey, N.L.",8506,8334,5882,7608,10220,15394,911657,19845,31977,31767,32334,34235,38294,41694,43051,42187,39528,40418,45444,43688,48323,55287,51634,39063,39788,37340,38919,40290,46660,52662,53190,51423,53021,52153
"   Nacionales",,,4153,5087,7072,11773,761618,16002,24037,25723,25319,28203,30245,31495,33695,33595,31219,31095,34739,33746,39467,46699,42747,33099,32528,30127,30943,32069,37866,41334,42363,41349,42886,41890
"   Internacionales",,,1729,2521,3148,3621,150039,3843,7940,6044,7015,6032,8049,10199,9356,8592,8309,9323,10705,9942,8856,8588,8887,5964,7260,7213,7976,8221,8794,11328,10827,10074,10135,10263
"   Regulares",8506,8317,5682,7605,10205,15148,879126,19171,29086,30175,31078,33233,35933,37218,38446,41847,38384,39955,45413,43587,48139,55232,51557,39023,39736,37173,38918,40290,46660,52646,53186,51423,53021,52148
"          Nacionales Regulares",6530,6170,4019,5084,7057,11542,729161,15437,22909,24728,24274,27382,29377,30363,30782,33291,30461,30661,34714,33715,39383,46663,42678,33078,32504,29969,30942,32069,37866,41330,42361,41349,42886,41890
"          Internacionales Regulares",1976,2147,1663,2521,3148,3606,149965,3734,6177,5447,6804,5851,6556,6855,7664,8556,7923,9294,10699,9872,8756,8569,8879,5945,7232,7204,7976,8221,8794,11316,10825,10074,10135,10258
"   Charters",0,17,200,3,15,246,32531,674,2891,1592,1256,1002,2361,4476,4605,340,1144,463,31,101,184,55,77,40,52,167,1,0,0,16,4,0,0,5
"         Charters Nacionales",0,0,134,3,15,231,32457,565,1128,995,1045,821,868,1132,2913,304,758,434,25,31,84,36,69,21,24,158,1,0,0,4,2,0,0,0
"         Charters Internacionales",0,0,66,0,0,15,74,109,1763,597,211,181,1493,3344,1692,36,386,29,6,70,100,19,8,19,28,9,0,0,0,12,2,0,0,5
"Morelia, Mich.",639,684,535,703,1326,2346,73661,3914,6440,5914,6079,5960,6158,5660,6003,5975,5296,4859,5157,6262,5906,5505,5088,4185,3707,3379,3535,3359,3526,3485,3604,3814,4016,4047
"   Nacionales",,,535,703,1256,2344,73593,3758,6217,5263,5152,4883,5071,4493,4628,4915,4576,3930,3967,4426,4149,4035,3698,2847,2539,2111,2068,2105,2152,2053,2153,2285,2254,2049
"   Internacionales",,,0,0,70,2,68,156,223,651,927,1077,1087,1167,1375,1060,720,929,1190,1836,1757,1470,1390,1338,1168,1268,1467,1254,1374,1432,1451,1529,1762,1998
"   Regulares",639,684,535,703,1092,2322,73498,3914,6440,5914,6074,5957,6149,5648,5981,5964,5287,4816,5118,6226,5851,5452,5055,4142,3659,3310,3485,3332,3493,3464,3597,3796,4009,4040
"          Nacionales Regulares",639,684,535,703,1022,2320,73430,3758,6217,5263,5147,4880,5063,4481,4606,4904,4567,3887,3928,4390,4125,3991,3665,2804,2502,2063,2022,2078,2119,2033,2146,2267,2247,2042
"          Internacionales Regulares",0,0,0,0,70,2,68,156,223,651,927,1077,1086,1167,1375,1060,720,929,1190,1836,1726,1461,1390,1338,1157,1247,1463,1254,1374,1431,1451,1529,1762,1998
"   Charters",0,0,0,0,234,24,163,0,0,0,5,3,9,12,22,11,9,43,39,36,55,53,33,43,48,69,50,27,33,21,7,18,7,7
"         Charters Nacionales",0,0,0,0,234,24,163,0,0,0,5,3,8,12,22,11,9,43,39,36,24,44,33,43,37,48,46,27,33,20,7,18,7,7
"         Charters Internacionales",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,31,9,0,0,11,21,4,0,0,1,0,0,0,0
"Nogales, Son.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,20,0,0,0,42,153,0,0,0,0,0,0,0,0,0,0,0,0
"   Nacionales",,,0,0,1,0,0,0,0,0,0,0,0,0,0,3,20,0,0,0,42,153,0,0,0,0,0,0,0,0,0,0,0,0
"   Internacionales",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"   Regulares",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,20,0,0,0,42,153,0,0,0,0,0,0,0,0,0,0,0,0
"          Nacionales Regulares",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,20,0,0,0,42,153,0,0,0,0,0,0,0,0,0,0,0,0
"          Internacionales Regulares",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"   Charters",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"         Charters Nacionales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"         Charters Internacionales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nuevo Laredo, Tamps.",677,566,356,463,463,522,40501,382,724,726,738,701,674,670,667,659,641,620,843,698,737,667,668,1059,1032,954,955,732,617,660,690,633,387,396
"   Nacionales",,,355,463,463,520,40478,382,724,726,738,701,674,670,667,659,641,618,842,698,737,667,668,1059,1032,954,955,732,617,660,660,633,387,396
"   Internacionales",,,1,0,0,2,23,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0
"   Regulares",677,566,356,463,463,521,40452,382,714,716,717,679,672,667,663,651,640,617,843,694,729,661,663,1047,1030,953,955,732,617,660,660,624,379,396
"          Nacionales Regulares",677,565,355,463,463,520,40429,382,714,716,717,679,672,667,663,651,640,615,842,694,729,661,663,1047,1030,953,955,732,617,660,660,624,379,396
"          Internacionales Regulares",0,1,1,0,0,1,23,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"   Charters",0,0,0,0,0,1,49,0,10,10,21,22,2,3,4,8,1,3,0,4,8,6,5,12,2,1,0,0,0,0,30,9,8,0
"         Charters Nacionales",0,0,0,0,0,0,49,0,10,10,21,22,2,3,4,8,1,3,0,4,8,6,5,12,2,1,0,0,0,0,0,9,8,0
"         Charters Internacionales",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0
"Oaxaca, Oax.",2908,2775,2123,2703,2946,4269,267024,4284,4874,4280,4959,4966,4314,5089,4486,4484,4443,3790,4378,4166,4372,3990,4953,4488,3637,3082,3675,3336,3596,4099,5568,6468,6429,8041
"   Nacionales",,,2123,2699,2939,4268,266280,4284,4839,4279,4959,4965,4293,5085,4486,4479,4443,3784,4192,3722,3842,3795,4736,4155,3406,2741,3362,3019,3295,3783,5333,6156,6049,7275
"   Internacionales",,,0,4,7,1,744,0,35,1,0,1,21,4,0,5,0,6,186,444,530,195,217,333,231,341,313,317,301,316,235,312,380,766
"   Regulares",2906,2773,2122,2699,2944,4269,266473,4276,4850,4279,4959,4965,4293,5083,4486,4482,4443,3788,4372,4147,4353,3989,4949,4484,3616,3072,3673,3336,3595,4097,5568,6466,6404,8033
"          Nacionales Regulares",2906,2773,2122,2699,2939,4268,265883,4276,4839,4279,4959,4965,4293,5083,4486,4479,4443,3784,4186,3703,3823,3794,4733,4152,3386,2731,3360,3019,3294,3781,5333,6154,6024,7267
"          Internacionales Regulares",0,0,0,0,5,1,590,0,11,0,0,0,0,0,0,3,0,4,186,444,530,195,216,332,230,341,313,317,301,316,235,312,380,766
"   Charters",2,2,1,4,2,0,551,8,24,1,0,1,21,6,0,2,0,2,6,19,19,1,4,4,21,10,2,0,1,2,0,2,25,8
"         Charters Nacionales",0,0,1,0,0,0,397,8,0,0,0,0,0,2,0,0,0,0,6,19,19,1,3,3,20,10,2,0,1,2,0,2,25,8
"         Charters Internacionales",0,0,0,4,2,0,154,0,24,1,0,1,21,4,0,2,0,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
"Palenque, Chis.  ",0,0,0,0,0,0,0,0,0,0,0,0,0,718,734,440,1,0,16,0,0,3,0,0,0,0,0,0,84,111,107,105,273,103
"   Nacionales",,,0,0,0,0,0,0,0,0,0,0,0,588,631,395,1,0,16,0,0,3,0,0,0,0,0,0,84,111,107,105,273,103
"   Internacionales",,,0,0,0,0,0,0,0,0,0,0,0,130,103,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"   Regulares",0,0,0,0,0,0,0,0,0,0,0,0,0,718,729,437,0,0,0,0,0,0,0,0,0,0,0,0,84,109,107,104,272,103
"          Nacionales Regulares",0,0,0,0,0,0,0,0,0,0,0,0,0,588,627,395,0,0,0,0,0,0,0,0,0,0,0,0,84,109,107,104,272,103
"          Internacionales Regulares",0,0,0,0,0,0,0,0,0,0,0,0,0,130,102,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"   Charters",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,1,0,16,0,0,3,0,0,0,0,0,0,0,2,0,1,1,0
"         Charters Nacionales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,16,0,0,3,0,0,0,0,0,0,0,2,0,1,1,0
"         Charters Internacionales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Poza Rica, Ver.",240,204,3,0,147,476,21525,957,1298,829,664,784,759,1346,1609,1617,1661,2047,2337,2395,2796,3369,3393,2684,2830,2622,2815,3145,3031,2031,1199,661,338,350
"   Nacionales",,,3,0,147,465,21525,957,1298,829,664,784,759,1346,1609,1617,1661,2047,2337,2395,2796,3369,3393,2684,2830,2622,2815,3145,3031,2031,1199,661,338,350
"   Internacionales",,,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"   Regulares",240,204,3,0,147,472,21449,957,1198,829,662,780,759,1322,1587,1613,1653,2047,2336,2381,2796,3369,3392,2680,2830,2622,2815,3145,3031,2031,1199,661,338,350
"          Nacionales Regulares",240,204,3,0,147,461,21449,957,1198,829,662,780,759,1322,1587,1613,1653,2047,2336,2381,2796,3369,3392,2680,2830,2622,2815,3145,3031,2031,1199,661,338,350
"          Internacionales Regulares",0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"   Charters",0,0,0,0,0,4,76,0,100,0,2,4,0,24,22,4,8,0,1,14,0,0,1,4,0,0,0,0,0,0,0,0,0,0
"         Charters Nacionales",0,0,0,0,0,4,76,0,100,0,2,4,0,24,22,4,8,0,1,14,0,0,1,4,0,0,0,0,0,0,0,0,0,0
"         Charters Internacionales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Puebla, Pue.",144,142,1,48,300,466,37603,1029,1582,1379,928,1226,3011,3155,3137,2475,1996,1029,1259,1502,2561,4874,5154,3517,2903,1151,1503,1894,2036,2569,2845,3118,3577,3509
"   Nacionales",,,1,48,300,465,36583,1026,1582,1379,928,1197,2429,3151,2793,2078,1987,1028,1016,1133,2155,4321,4761,3141,2533,788,1067,1216,1330,1770,2073,2419,2870,3157
"   Internacionales",,,0,0,0,1,1020,3,0,0,0,29,582,4,344,397,9,1,243,369,406,553,393,376,370,363,436,678,706,799,772,699,707,352
"   Regulares",144,142,1,48,300,466,35860,1026,1581,1379,921,1224,3011,3155,3101,2458,1987,1008,1219,1466,2543,4848,5129,3487,2888,1102,1489,1873,2014,2560,2829,3109,3565,3492
"          Nacionales Regulares",144,142,1,48,300,465,35816,1026,1581,1379,921,1195,2429,3151,2761,2062,1978,1008,976,1097,2137,4295,4738,3115,2518,739,1054,1198,1312,1761,2057,2411,2858,3140
"          Internacionales Regulares",0,0,0,0,0,1,44,0,0,0,0,29,582,4,340,396,9,0,243,369,406,553,391,372,370,363,435,675,702,799,772,698,707,352
"   Charters",0,0,0,0,0,0,1743,3,1,0,7,2,0,0,36,17,9,21,40,36,18,26,25,30,15,49,14,21,22,9,16,9,12,17
"         Charters Nacionales",0,0,0,0,0,0,767,0,1,0,7,2,0,0,32,16,9,20,40,36,18,26,23,26,15,49,13,18,18,9,16,8,12,17
"         Charters Internacionales",0,0,0,0,0,0,976,3,0,0,0,0,0,0,4,1,0,1,0,0,0,0,2,4,0,0,1,3,4,0,0,1,0,0
"Puerto Escondido, Oax.",188,258,293,265,333,615,17542,799,873,870,967,645,559,1011,834,756,915,289,373,365,376,393,386,390,471,533,729,881,1215,1168,1292,1382,1578,2117
"   Nacionales",,,293,265,330,615,16891,799,868,870,967,645,559,1011,834,756,915,289,373,365,374,393,386,390,471,533,729,881,1215,1168,1292,1382,1578,2117
"   Internacionales",,,0,0,3,0,651,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"   Regulares",188,258,290,263,319,604,17111,664,850,867,966,644,559,1010,834,756,915,289,373,360,365,367,366,390,471,531,729,881,1215,1168,1292,1381,1578,2117
"          Nacionales Regulares",188,258,290,263,316,604,16460,664,845,867,966,644,559,1010,834,756,915,289,373,360,363,367,366,390,471,531,729,881,1215,1168,1292,1381,1578,2117
"          Internacionales Regulares",0,0,0,0,3,0,651,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"   Charters",0,0,3,2,14,11,431,135,23,3,1,1,0,1,0,0,0,0,0,5,11,26,20,0,0,2,0,0,0,0,0,1,0,0
"         Charters Nacionales",0,0,3,2,14,11,431,135,23,3,1,1,0,1,0,0,0,0,0,5,11,26,20,0,0,2,0,0,0,0,0,1,0,0
"         Charters Internacionales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Puerto Vallarta, Jal.",7677,8620,8064,8802,8996,10479,792465,10723,12028,11066,12042,12203,11925,11992,11945,11625,11280,11144,12455,15224,15820,17761,17740,14426,14155,12534,12534,12449,14198,15719,17308,19109,20096,20403
"   Nacionales",,,3858,4414,4599,5724,399962,6077,6545,6044,6086,6313,5950,6203,6303,5775,5364,5211,5539,5730,6330,8294,8440,6473,6107,5374,5516,5629,6248,6702,7214,8021,8668,9276
"   Internacionales",,,4206,4388,4397,4755,392503,4646,5483,5022,5956,5890,5975,5789,5642,5850,5916,5933,6916,9494,9490,9467,9300,7953,8048,7160,7018,6820,7950,9017,10094,11088,11428,11127
"   Regulares",7330,7989,7315,7847,8278,9889,749353,9167,8896,8974,9566,9611,9358,9342,9241,9031,9111,9190,10507,13712,14222,16337,16599,13631,13404,12237,12272,12311,13997,15584,17186,18985,19867,20236
"          Nacionales Regulares",4555,4612,3764,4276,4506,5632,396802,5832,5676,5731,5868,6161,5704,5852,5913,5459,5285,5175,5479,5663,6127,8072,8278,6450,6069,5322,5486,5614,6185,6680,7199,7998,8644,9258
"          Internacionales Regulares",2775,3377,3551,3571,3772,4257,352551,3335,3220,3243,3698,3450,3654,3490,3328,3572,3826,4015,5028,8049,8095,8265,8321,7181,7335,6915,6786,6697,7812,8904,9987,10987,11223,10978
"   Charters",347,631,749,955,718,590,43112,1556,3132,2092,2476,2592,2567,2650,2704,2594,2169,1954,1948,1512,1598,1424,1141,795,751,297,262,138,201,135,122,124,229,167
"         Charters Nacionales",0,0,94,138,93,92,3160,245,869,313,218,152,246,351,390,316,79,36,60,67,203,222,162,23,38,52,30,15,63,22,15,23,24,18
"         Charters Internacionales",0,0,655,817,625,498,39952,1311,2263,1779,2258,2440,2321,2299,2314,2278,2090,1918,1888,1445,1395,1202,979,772,713,245,232,123,138,113,107,101,205,149
"Querétaro, Qro.",0,0,0,0,0,0,0,0,1509,2067,2341,2029,2425,2400,2540,2449,2149,1952,1783,1836,2028,4273,4001,2048,1280,1758,2785,3089,4535,5098,6176,7506,9636,10638
"   Nacionales",,,0,0,0,0,0,0,1509,2067,2341,2029,2424,2400,2540,2449,2149,1952,1783,1424,1654,3910,3550,1649,840,705,1144,1293,2382,3229,4361,5546,7255,7667
"   Internacionales",,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,412,374,363,451,399,440,1053,1641,1796,2153,1869,1815,1960,2381,2971
"   Regulares",0,0,0,0,0,0,0,0,1509,2067,2341,2029,2425,2400,2540,2449,2148,1952,1783,1836,2021,4248,3980,2048,1257,1732,2775,3085,4535,5098,6107,7439,9537,10557
"          Nacionales Regulares",0,0,0,0,0,0,0,0,1509,2067,2341,2029,2424,2400,2540,2449,2148,1952,1783,1424,1647,3885,3529,1649,818,679,1134,1289,2382,3229,4292,5490,7174,7631
"          Internacionales Regulares",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,412,374,363,451,399,439,1053,1641,1796,2153,1869,1815,1949,2363,2926
"   Charters",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,25,21,0,23,26,10,4,0,0,69,67,99,81
"         Charters Nacionales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,25,21,0,22,26,10,4,0,0,69,56,81,36
"         Charters Internacionales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,18,45
"Reynosa, Tamps.",841,822,422,381,395,660,36298,391,747,405,339,710,1056,1096,1727,1858,1083,1013,1035,990,1327,2134,2685,2400,2260,2170,2777,3021,3270,3196,3074,2347,1897,1998
"   Nacionales",,,422,381,395,654,36298,391,747,405,339,710,1056,1096,1727,1858,1083,1013,1035,990,1327,2132,2685,2400,2260,2170,2777,3021,3270,3196,3074,2346,1896,1997
"   Internacionales",,,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,1
"   Regulares",841,822,422,381,395,638,35451,391,739,405,339,710,1056,1096,1727,1858,1083,1011,1035,990,1327,2134,2685,2400,2260,2170,2777,3021,3270,3196,3074,2347,1897,1998
"          Nacionales Regulares",840,822,422,381,395,632,35451,391,739,405,339,710,1056,1096,1727,1858,1083,1011,1035,990,1327,2132,2685,2400,2260,2170,2777,3021,3270,3196,3074,2346,1896,1997
"          Internacionales Regulares",1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,1
"   Charters",0,0,0,0,0,22,847,0,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"         Charters Nacionales",0,0,0,0,0,22,847,0,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"         Charters Internacionales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(1) Saltillo, Coah.",0,0,0,0,0,0,23805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"   Nacionales",0,0,0,0,0,0,23692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"   Internacionales",0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"   Regulares",0,0,0,0,0,0,22131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"          Nacionales Regulares",0,0,0,0,0,0,22131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"          Internacionales Regulares",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"   Charters",0,0,0,0,0,0,1674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"         Charters Nacionales",0,0,0,0,0,0,1561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"         Charters Internacionales",0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"San Cristobal de las Casas, Chis.",0,0,0,0,0,0,0,0,0,0,0,0,0,195,363,417,638,529,121,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0
"   Nacionales",,,0,0,0,0,0,0,0,0,0,0,0,195,363,417,638,529,121,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0
"   Internacionales",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"   Regulares",0,0,0,0,0,0,0,0,0,0,0,0,0,195,363,417,636,529,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"          Nacionales Regulares",0,0,0,0,0,0,0,0,0,0,0,0,0,195,363,417,636,529,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"          Internacionales Regulares",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"   Charters",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0
"         Charters Nacionales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0
"         Charters Internacionales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"San Luis Potosí, S.L.P.",645,516,378,1064,1561,2670,100213,4836,5704,5294,5600,5682,5517,5163,4882,6263,6108,5791,5867,6209,5945,6164,5916,5371,5852,5322,5625,5032,6405,6046,6437,6328,6826,6389
"   Nacionales",,,378,1064,1560,2668,100128,4735,5405,5251,5551,5628,5417,5049,4527,5818,5582,5259,5314,5091,4851,5022,4789,4568,4819,4183,4244,3872,4923,4960,5112,4888,5372,4838
"   Internacionales",,,0,0,1,2,85,101,299,43,49,54,100,114,355,445,526,532,553,1118,1094,1142,1127,803,1033,1139,1381,1160,1482,1086,1325,1440,1454,1551
"   Regulares",645,516,378,1064,1561,2668,99686,4783,5649,5282,5600,5682,5517,5163,4882,6245,6107,5784,5866,6209,5939,6158,5905,5368,5686,5134,5625,5032,6405,6046,6437,6328,6826,6388
"          Nacionales Regulares",645,516,378,1064,1560,2666,99650,4705,5374,5239,5551,5628,5417,5049,4527,5800,5581,5252,5313,5091,4845,5017,4778,4565,4658,4004,4244,3872,4923,4960,5112,4888,5372,4838
"          Internacionales Regulares",0,0,0,0,1,2,36,78,275,43,49,54,100,114,355,445,526,532,553,1118,1094,1141,1127,803,1028,1130,1381,1160,1482,1086,1325,1440,1454,1550
"   Charters",0,0,0,0,0,2,527,53,55,12,0,0,0,0,0,18,1,7,1,0,6,6,11,3,166,188,0,0,0,0,0,0,0,1
"         Charters Nacionales",0,0,0,0,0,2,478,30,31,12,0,0,0,0,0,18,1,7,1,0,6,5,11,3,161,179,0,0,0,0,0,0,0,0
