"aeropuerto",1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"          Nacionales Regulares",1812,1822,1277,1271,1393,2019,68668,2108,3260,3928,3849,2966,3426,3501,3822,3738,3363,2539,2573,2738,3375,3448,2506,1961,2004,1842,1675,1655,1617,1376,1354,1367,7306,7777
"          Internacionales Regulares",0,0,0,0,0,1,0,0,209,768,825,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"   Charters",0,0,0,0,20,0,117,0,2,0,0,0,2,1,2,1,0,5,25,8,0,105,257,0,5,0,0,0,0,0,0,0,0,0
"         Charters Nacionales",0,0,0,0,20,0,117,0,2,0,0,0,2,1,1,1,0,5,24,8,0,105,257,0,5,0,0,0,0,0,0,0,0,0
"         Charters Internacionales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ciudad Victoria, Tamps.",436,548,297,409,489,529,16352,660,1049,1460,1112,1100,1096,1275,1488,1380,1461,1322,1326,1196,898,1182,1157,1398,1128,1783,2075,1672,1601,1297,1172,881,1584,1552
"   Nacionales",,,297,409,489,529,16352,660,1049,1460,1112,1100,1096,1275,1488,1380,1461,1322,1326,1196,898,1182,1157,1398,1128,1783,2075,1672,1601,1297,1172,881,1584,1552
"   Internacionales",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"   Regulares",436,548,297,409,488,519,16273,660,1034,1454,1098,1097,1095,1275,1488,1380,1461,1321,1326,1177,892,1168,1118,1385,1108,1765,2051,1658,1583,1292,1169,877,1584,1552
"          Nacionales Regulares",436,548,297,409,488,519,16273,660,1034,1454,1098,1097,1095,1275,1488,1380,1461,1321,1326,1177,892,1168,1118,1385,1108,1765,2051,1658,1583,1292,1169,877,1584,1552
"          Internacionales Regulares",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"   Charters",0,0,0,0,1,10,79,0,15,6,14,3,1,0,0,0,0,1,0,19,6,14,39,13,20,18,24,14,18,5,3,4,0,0
"         Charters Nacionales",0,0,0,0,1,10,79,0,15,6,14,3,1,0,0,0,0,1,0,19,6,14,39,13,20,18,24,14,18,5,3,4,0,0
"         Charters Internacionales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colima, Col.",0,0,461,706,714,702,28354,1309,1413,1368,1343,1300,1345,1324,1342,1225,1213,1119,1098,1158,1544,2180,1752,1142,943,1115,1390,1392,1675,1532,1647,1328,897,766
"   Nacionales",,,461,706,714,702,28354,1309,1413,1368,1343,1300,1345,1324,1342,1225,1213,1119,1098,1158,1544,2180,1752,1142,943,1115,1390,1392,1675,1532,1647,1328,897,766
"   Internacionales",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"   Regulares",0,0,460,706,714,702,28354,1309,1411,1368,1342,1299,1345,1324,1340,1223,1213,1117,1096,1154,1542,2180,1748,1131,933,1111,1390,1383,1675,1532,1645,1324,891,761
"          Nacionales Regulares",0,0,460,706,714,702,28354,1309,1411,1368,1342,1299,1345,1324,1340,1223,1213,1117,1096,1154,1542,2180,1748,1131,933,1111,1390,1383,1675,1532,1645,1324,891,761
"          Internacionales Regulares",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"   Charters",0,0,1,0,0,0,0,0,2,0,1,1,0,0,2,2,0,2,2,4,2,0,4,11,10,4,0,9,0,0,2,4,6,5
"         Charters Nacionales",0,0,1,0,0,0,0,0,2,0,1,1,0,0,2,2,0,2,2,4,2,0,4,11,10,4,0,9,0,0,2,4,6,5
"         Charters Internacionales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Comitán, Chis.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360,364,229,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1377,1373
"   Nacionales",,,0,0,0,0,0,0,0,0,0,0,0,0,0,360,364,229,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1377,1373
"   Internacionales",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"   Regulares",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360,364,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1375,1372
"          Nacionales Regulares",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360,364,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1375,1372
"          Internacionales Regulares",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"   Charters",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"         Charters Nacionales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"         Charters Internacionales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cozumel, Q. Roo.",2724,3074,2341,2791,2797,3877,241310,8489,6079,5451,5850,5891,5928,4220,4676,4213,3873,3150,3864,3036,1866,2785,2805,1926,1726,1756,3598,3690,3988,4176,4422,4298,0,0
"   Nacionales",,,790,1045,678,1812,148708,6678,4651,4031,4356,4357,4256,3240,3061,2610,2488,1585,1765,1067,436,471,605,320,66,140,2042,2102,2067,2335,2683,2493,0,0
"   Internacionales",,,1551,1746,2119,2065,92602,1811,1428,1420,1494,1534,1672,980,1615,1603,1385,1565,2099,1969,1430,2314,2200,1606,1660,1616,1556,1588,1921,1841,1739,1805,0,0
"   Regulares",2624,2981,2218,2659,2587,3653,222309,7903,5413,4877,5307,5229,5149,3648,3674,3308,3215,2285,3013,2421,1576,2386,2479,1706,1559,1595,3455,3551,3861,4028,4304,4107,0,0
"          Nacionales Regulares",908,1165,784,1041,675,1809,148065,6662,4630,4020,4355,4355,4256,3238,3053,2601,2487,1485,1741,1054,420,401,533,283,44,136,2041,2102,2066,2333,2682,2426,0,0
"          Internacionales Regulares",1716,1816,1434,1618,1912,1844,74244,1241,783,857,952,874,893,410,621,707,728,800,1272,1367,1156,1985,1946,1423,1515,1459,1414,1449,1795,1695,1622,1681,0,0
"   Charters",100,93,123,132,210,224,19001,586,666,574,543,662,779,572,1002,905,658,865,851,615,290,399,326,220,167,161,143,139,127,148,118,191,0,0
"         Charters Nacionales",0,0,6,4,3,3,643,16,21,11,1,2,0,2,8,9,1,100,24,13,16,70,72,37,22,4,1,0,1,2,1,67,0,0
"         Charters Internacionales",0,0,117,128,207,221,18358,570,645,563,542,660,779,570,994,896,657,765,827,602,274,329,254,183,145,157,142,139,126,146,117,124,0,0
"Cuernavaca, Mor.",0,0,0,0,0,0,0,0,402,453,456,914,839,933,1331,1468,1380,851,318,30,233,808,771,0,41,152,199,131,2,0,357,74,4286,2930
"   Nacionales",,,0,0,0,0,0,0,402,453,456,914,839,933,1331,1468,1380,851,318,30,233,808,771,0,41,151,199,131,2,0,357,74,2467,1568
"   Internacionales",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1819,1362
