estado,vuelos,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Chetumal, Q. Roo.",   Internacionales,,,0,0,0,56,645,0,0,23,0,70,309,190,19,11,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,69,48,53
"Chihuahua, Chih.",Total Estado,3116.0,3174.0,2195,2647,3606,4284,185034,6593,9390,11929,11107,11220,11428,10647,10447,10428,11155,10772,10697,10707,10034,10540,9622,8030,8413,6937,7448,7274,7899,7914,9405,8496,1202,1335
"Chihuahua, Chih.",   Nacionales,,,1928,2631,3122,3646,170216,5730,7905,8954,8842,9004,9291,9022,8996,8786,9811,9667,9798,9433,8937,9103,8105,6862,7326,5865,6306,6210,6820,6817,8313,7376,1202,1335
"Chihuahua, Chih.",   Internacionales,,,267,16,484,638,14818,863,1485,2975,2265,2216,2137,1625,1451,1642,1344,1105,899,1274,1097,1437,1517,1168,1087,1072,1142,1064,1079,1097,1092,1120,0,0
Distrito Federal,Total Estado,55965.0,54173.0,47192,54351,61199,68713,7483409,107744,132558,113832,110296,114283,128093,131989,136124,137179,143567,144353,146353,147146,157558,169160,164950,156589,150767,153849,168356,172965,181829,190249,199220,201602,9811,10110
Distrito Federal,   Nacionales,,,32254,36503,39478,46862,5596849,77568,98078,84888,80274,82152,91969,96254,99153,103196,108090,108076,109356,109392,117633,126782,123441,119223,113636,115346,125594,127290,133923,137534,142697,138444,8664,8717
Distrito Federal,   Internacionales,,,14938,17848,21721,21851,1886560,30176,34480,28944,30022,32131,36124,35735,36971,33983,35477,36277,36997,37754,39925,42378,41509,37366,37131,38503,42762,45675,47906,52715,56523,63158,1147,1393
"Durango, Dgo.",Total Estado,1613.0,1594.0,881,916,1314,1456,91301,4465,4134,3513,3536,3629,4406,4388,4860,4240,3846,3346,3753,3574,3298,3497,2513,1436,1331,1742,1782,2063,2279,2516,2908,2787,2902,3698
"Durango, Dgo.",   Nacionales,,,881,916,1314,1455,91127,4401,3902,3396,3332,3440,4207,4174,4613,3991,3638,3124,3354,3121,2889,3226,2345,1301,1181,1580,1564,1847,2048,2367,2750,2606,2747,3193
"Durango, Dgo.",   Internacionales,,,0,0,0,1,174,64,232,117,204,189,199,214,247,249,208,222,399,453,409,271,168,135,150,162,218,216,231,149,158,181,155,505
"Guadalajara, Jal.",Total Estado,21011.0,19521.0,16251,18531,23441,28743,2117416,64631,50208,48158,46256,45665,46488,46615,44912,47205,43280,45441,44501,44799,51167,61667,53858,44038,43357,40336,40329,42750,43889,45350,50615,54091,58750,56987
"Guadalajara, Jal.",   Nacionales,,,11973,12614,16231,21295,1467748,64631,42052,40463,37776,37738,38372,38508,35863,37852,32667,37422,33828,33085,38427,48669,42357,33420,32465,28277,28722,30773,31424,32771,36226,40029,43589,41161
"Guadalajara, Jal.",   Internacionales,,,4278,5917,7210,7448,649668,0,8156,7695,8480,7927,8116,8107,9049,9353,10613,8019,10673,11714,12740,12998,11501,10618,10892,12059,11607,11977,12465,12579,14389,14062,15161,15826
"Guaymas, Son.",Total Estado,1150.0,1046.0,507,842,827,796,39468,858,1010,1411,1173,1483,1510,1466,1532,1046,696,391,307,336,343,434,786,1376,1419,1434,1363,1076,757,212,0,0,0,0
"Guaymas, Son.",   Nacionales,,,199,374,382,368,20374,377,471,911,585,761,827,366,445,544,294,25,0,0,0,121,455,1050,1100,1111,1086,1076,757,212,0,0,0,0
"Guaymas, Son.",   Internacionales,,,308,468,445,428,19094,481,539,500,588,722,683,1100,1087,502,402,366,307,336,343,313,331,326,319,323,277,0,0,0,0,0,0,0
"Hermosillo,Son.",Total Estado,3630.0,3753.0,2366,3047,3273,4115,259407,6478,10354,12421,13818,13255,13437,13292,15798,16167,15623,14262,14501,13852,14033,14828,12638,10425,9571,9841,9993,10295,10173,8996,9590,8534,8735,8925
"Hermosillo,Son.",   Nacionales,,,2158,2673,2900,3662,228013,5570,8410,9357,10019,9698,10571,10257,12672,13451,12791,11911,12113,11985,12527,13260,11137,9233,8430,8758,8899,9055,9140,8210,8786,8039,8367,8542
"Hermosillo,Son.",   Internacionales,,,208,374,373,453,31394,908,1944,3064,3799,3557,2866,3035,3126,2716,2832,2351,2388,1867,1506,1568,1501,1192,1141,1083,1094,1240,1033,786,804,495,368,383
"Ixtapa Zihuatanejo, Gro.",Total Estado,3043.0,3524.0,3619,3644,3191,3328,309319,3810,5089,4081,4149,4149,4198,4167,4192,4229,4210,3822,3762,3956,4673,4844,4312,4064,3525,3432,3147,2788,3267,3528,3443,3614,3343,3639
"Ixtapa Zihuatanejo, Gro.",   Nacionales,,,3051,3017,2734,3013,276342,3321,4559,3601,3503,3251,3058,2975,3041,3066,3170,2752,2458,2563,2946,3164,3035,2888,2471,2586,2343,2019,2355,2537,2500,2704,2461,2822
"Ixtapa Zihuatanejo, Gro.",   Internacionales,,,568,627,457,315,32977,489,530,480,646,941,1140,1192,1151,1163,1040,1070,1304,1393,1727,1680,1277,1176,1054,846,804,769,912,991,943,910,882,817
"(4) Ixtepec, Oax",Total Estado,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,613,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,692,646
"(4) Ixtepec, Oax",   Nacionales,,,0,0,0,0,0,0,0,0,0,0,0,0,0,613,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,692,646
"(4) Ixtepec, Oax",   Internacionales,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"La Paz, B.C.S.",Total Estado,4513.0,4490.0,3844,4799,4811,4433,186297,5394,5401,6196,6493,6920,6744,6665,6736,6566,6507,5446,6073,5956,5944,8408,6631,4031,4315,3409,3248,3415,3364,4325,6724,6010,5988,5441
"La Paz, B.C.S.",   Nacionales,,,3614,4406,4426,4025,175752,5061,5383,5855,6183,6646,6450,6278,6385,6307,6304,5275,5837,5721,5784,7962,6301,3772,4143,3223,3089,3328,3336,4310,6709,5996,5980,5420
"La Paz, B.C.S.",   Internacionales,,,230,393,385,408,10545,333,18,341,310,274,294,387,351,259,203,171,236,235,160,446,330,259,172,186,159,87,28,15,15,14,8,21
"(1) Lázaro Cárdenas, Mich.",Total Estado,0.0,0.0,0,0,0,0,26907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(1) Lázaro Cárdenas, Mich.",   Nacionales,0.0,0.0,0,0,0,0,26907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(1) Lázaro Cárdenas, Mich.",   Internacionales,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"León, Gto. (Bajío)",Total Estado,1592.0,1675.0,1284,1206,1831,3019,271749,8362,10446,7268,6754,7016,7938,9052,9261,8849,8263,8662,8387,9468,9991,11308,9439,8537,8308,7478,7603,7636,9184,11061,11729,11966,12893,13800
"León, Gto. (Bajío)",   Nacionales,,,1284,1206,1614,2697,222953,7543,9380,6127,5565,5578,6231,7210,7120,6647,6551,6726,6216,6364,6420,7246,5777,5292,5131,3847,4292,4365,5485,6876,7458,7862,8471,9349
"León, Gto. (Bajío)",   Internacionales,,,0,0,217,322,48796,819,1066,1141,1189,1438,1707,1842,2141,2202,1712,1936,2171,3104,3571,4062,3662,3245,3177,3631,3311,3271,3699,4185,4271,4104,4422,4451
"(2) Loma Bonita, Oax.",Total Estado,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(2) Loma Bonita, Oax.",   Nacionales,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(2) Loma Bonita, Oax.",   Internacionales,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Loreto, B.C.S.",Total Estado,766.0,674.0,202,410,620,803,22478,740,734,666,1293,1253,1280,1175,1130,1123,1433,1170,1083,1245,1028,1260,955,261,350,454,346,571,523,574,568,572,625,747
"Loreto, B.C.S.",   Nacionales,,,111,210,258,438,5945,372,365,493,723,752,741,770,721,762,1235,896,764,883,753,717,570,52,122,198,120,206,196,233,334,333,388,480
"Loreto, B.C.S.",   Internacionales,,,91,200,362,365,16533,368,369,173,570,501,539,405,409,361,198,274,319,362,275,543,385,209,228,256,226,365,327,341,234,239,237,267
"Los Cabos, B.C.S.",Total Estado,3137.0,3042.0,2468,3523,4719,4801,296137,4541,4816,5478,7113,7494,7629,7313,7675,7928,8622,9122,10421,13503,14380,15454,14722,13894,13392,12650,13725,14688,14036,15594,17022,20111,20426,20107
"Los Cabos, B.C.S.",   Nacionales,,,1472,1929,1762,1394,79279,1461,940,998,1685,1850,2075,1943,1714,1770,2227,2845,3086,3548,4091,5207,5458,5322,4793,4185,4779,4567,4528,4648,5919,6705,6938,7135
"Los Cabos, B.C.S.",   Internacionales,,,996,1594,2957,3407,216858,3080,3876,4480,5428,5644,5554,5370,5961,6158,6395,6277,7335,9955,10289,10247,9264,8572,8599,8465,8946,10121,9508,10946,11103,13406,13488,12972
"Los Mochis, Sin.",Total Estado,2031.0,2055.0,2155,2246,2228,2703,109458,4125,4282,4408,5223,5145,4894,4790,5096,4794,4720,4809,4718,4279,4193,5799,3742,3007,3029,2234,2033,2050,1780,1663,3294,2850,2665,2900
"Los Mochis, Sin.",   Nacionales,,,2155,2246,2219,2700,108345,4125,4275,4408,5223,5145,4894,4790,5096,4794,4720,4809,4718,4279,4193,5703,3693,3007,3029,2234,2033,2050,1780,1663,3294,2850,2665,2900
"Los Mochis, Sin.",   Internacionales,,,0,0,9,3,1113,0,7,0,0,0,0,0,0,0,0,0,0,0,0,96,49,0,0,0,0,0,0,0,0,0,0,0
"Manzanillo, Col.",Total Estado,2249.0,2306.0,1867,1945,1917,1543,119591,2329,2020,2942,3186,2764,2571,2110,2680,2460,1930,2134,2179,2368,2252,2454,2069,1659,1704,1876,2132,2150,2132,1943,1795,1400,1046,1078
"Manzanillo, Col.",   Nacionales,,,1427,1520,1643,1357,94390,1847,1751,2532,2581,2132,1915,1493,1940,1702,1483,1545,1454,1670,1621,1670,1472,1199,1265,1479,1740,1772,1733,1474,1464,1090,777,780
"Manzanillo, Col.",   Internacionales,,,440,425,274,186,25201,482,269,410,605,632,656,617,740,758,447,589,725,698,631,784,597,460,439,397,392,378,399,469,331,310,269,298
"Matamoros, Tamps.",Total Estado,711.0,661.0,414,366,369,583,40497,472,682,877,780,1083,1058,1064,1401,1045,1020,986,853,636,361,610,688,626,648,926,1236,1216,1045,1068,970,659,427,371
"Matamoros, Tamps.",   Nacionales,,,414,366,368,583,40470,472,682,877,780,1083,1058,1064,1401,1045,1020,986,853,636,361,610,688,626,648,926,1236,1211,1026,1061,970,659,427,371
"Matamoros, Tamps.",   Internacionales,,,0,0,1,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,19,7,0,0,0,0
"Mazatlán , Sin.",Total Estado,7648.0,7389.0,6898,8070,8392,9217,443556,15890,8839,9498,8643,8585,8652,7754,8131,8147,7631,7434,8038,8640,8024,8925,8423,6258,5475,4886,4263,4379,4598,4644,5982,5129,5550,5921
"Mazatlán , Sin.",   Nacionales,,,4261,4817,5265,6114,298180,12205,6757,7555,6619,6552,6283,6249,6309,6340,6043,5685,5973,6300,5522,6233,6169,4259,3553,2998,2846,3192,3377,3150,4496,3663,4032,4488
"Mazatlán , Sin.",   Internacionales,,,2637,3253,3127,3103,145376,3685,2082,1943,2024,2033,2369,1505,1822,1807,1588,1749,2065,2340,2502,2692,2254,1999,1922,1888,1417,1187,1221,1494,1486,1466,1518,1433
"Mérida, Yuc.",Total Estado,5483.0,5418.0,3575,4318,6629,7797,451904,15121,9606,7907,7579,8124,9627,10141,9285,7598,7219,6908,7594,7037,7491,9944,8805,7489,7320,6307,6984,7214,7939,8723,10172,11475,11239,11476
"Mérida, Yuc.",   Nacionales,,,2861,3502,5591,6146,371790,12965,8308,7051,6755,6639,7473,8522,7402,6795,6664,6441,7007,6405,6721,9316,8265,6960,6786,5834,6541,6697,7287,7995,9159,10378,10230,10626
"Mérida, Yuc.",   Internacionales,,,714,816,1038,1651,80114,2156,1298,856,824,1485,2154,1619,1883,803,555,467,587,632,770,628,540,529,534,473,443,517,652,728,1013,1097,1009,850
"Mexicali, B.C.",Total Estado,814.0,828.0,541,519,783,779,120032,1712,1951,1588,2043,2494,2659,2779,3328,2890,2634,3654,4010,3785,3445,3717,3108,2875,2947,2964,2715,2502,2637,2956,3100,3020,4285,4029
"Mexicali, B.C.",   Nacionales,,,541,518,763,777,119867,1603,1775,1588,2043,2494,2659,2779,3328,2878,2634,3654,4010,3785,3445,3717,3106,2872,2907,2964,2715,2502,2637,2955,3099,3020,4284,4029
"Mexicali, B.C.",   Internacionales,,,0,1,20,2,165,109,176,0,0,0,0,0,0,12,0,0,0,0,0,0,2,3,40,0,0,0,0,1,1,0,1,0
