Origen,Destino,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Campeche,San Luis Potosí,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64
Campeche,Tampico,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Campeche,Tapachula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,40,0,0,0,0,0,0,0,0
Campeche,Tepic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0
Campeche,Toluca,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,2071,0,0,0,0,0,0,0,0,122,0,0
Campeche,Tuxtla Gutiérrez,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,46,0,0,0,0,0
Campeche,Veracruz,0,0,0,0,0,0,0,0,125,16,0,0,0,0,0,0,0,203,118,167,0,0,91,118,61,0,0,0
Campeche,Villahermosa,0,0,0,0,0,0,0,0,54,0,0,0,55,327,0,0,0,0,95,20,0,0,0,0,0,0,0,0
Cancún,Total,570855,671636,703862,666484,692935,763835,740875,882723,900774,913856,958373,1127103,1254831,1111788,1258113,1624706,1783702,1604203,1736182,1812428,2354721,2613016,2786323,3062998,3477891,3997646,4473236,4602265
Cancún,Acapulco,571,1406,467,1261,185,202,432,705,347,0,353,1195,189,185,0,45,174,0,0,0,147,452,687,535,332,451,0,3857
Cancún,Aguascalientes,0,1554,744,836,272,0,0,0,0,92,259,375,322,343,200,336,412,97,373,443,10260,15179,18718,15095,22183,30076,60726,29073
Cancún,Bahía De Santa Lucia,0,1779,0,54,0,0,0,926,1381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cancún,Campeche,0,0,0,0,0,0,0,433,346,6,0,0,0,32,53,0,1012,0,0,0,0,96,0,0,316,0,0,0
Cancún,Cancún,0,0,0,0,0,65,351,377,675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cancún,Celaya,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cancún,Chetumal,826,20849,3906,3400,1825,2246,2715,2896,3790,2604,458,35,63,96,0,393,1118,0,0,0,0,0,0,0,0,0,0,0
Cancún,Chichén Itzá,3573,3283,3493,3196,4193,2203,712,97,0,0,0,0,0,0,0,36,0,0,0,22,180,0,0,0,0,0,0,0
Cancún,Chihuahua,1310,4796,1163,590,1281,234,695,2150,1768,1395,1406,1988,2794,756,561,15103,2292,2979,3581,4968,4409,10604,11709,6418,6902,6261,28668,44225
Cancún,Ciudad del Carmen,0,0,0,171,0,0,0,0,149,14,0,231,187,0,0,0,0,0,0,0,0,0,0,0,1587,0,0,0
Cancún,Ciudad Juárez,1047,3233,1432,566,764,112,920,807,838,877,923,844,4186,4172,4834,6863,1469,997,2068,1626,1974,7332,5650,4436,4939,9492,27778,49577
Cancún,Ciudad Obregón,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,95,0,0,0,0,0,0,0
Cancún,Colima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
Cancún,Cozumel,74528,79171,80685,69809,62140,69323,60882,79459,58764,42231,27896,16669,14174,7043,0,0,0,4,162,0,0,0,0,0,0,0,0,0
Cancún,Cuernavaca,0,0,0,0,0,0,0,0,649,545,6926,0,0,0,0,235,0,0,0,0,5625,8568,0,0,0,0,0,0
Cancún,Culiacán,0,1416,695,68,0,0,0,0,0,423,0,208,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0
Cancún,Durango,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,60,0,0,39,0,0,0,0
Cancún,Guadalajara,16802,27327,25811,20288,22161,18778,15489,19248,25164,14796,11076,51694,46704,44200,51994,59499,101568,87385,134120,154801,170680,198610,218285,255413,321941,394524,475108,446935
Cancún,Hermosillo,0,805,1235,0,325,0,294,541,0,0,0,0,61,3,0,54,0,0,0,148,207,576,4899,0,0,0,0,3760
Cancún,Huatulco,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0
Cancún,La Paz,0,0,1629,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,141
Cancún,León,697,4673,4576,1696,1753,352,1643,5130,7141,10269,6936,24893,20892,12351,13411,14723,12928,12167,11405,12379,21704,36301,47903,44845,57336,105555,161188,172711
Cancún,Manzanillo,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cancún,Matamoros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0
Cancún,Mazatlán,505,0,161,0,90,171,0,0,0,0,0,0,0,0,0,188,197,0,0,0,78,0,0,0,120,215,0,124
Cancún,Mérida,45927,39399,34842,30907,20693,18848,15057,17944,11986,8451,7387,6527,8785,5077,2620,6181,6288,1390,1953,178,128,306,480,898,319,3117,2265,65
Cancún,Mexicali,2,856,698,0,0,0,0,0,945,6726,982,1930,225,0,0,0,0,0,0,0,0,298,431,0,0,0,0,0
Cancún,México,373353,412398,471208,479047,512773,581823,576458,670381,697774,739480,798495,894711,994797,900044,915477,1024565,1055136,1047127,1022755,1186333,1574829,1673344,1779603,1950155,2145909,2383631,2519147,2527075
Cancún,Minatitlán,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cancún,Monterrey,18929,42102,50163,45553,47309,49174,43677,60162,69982,62726,70648,92614,132954,106147,96124,210156,227812,179491,221499,221970,348649,338366,357501,429035,482213,553403,645661,699007
Cancún,Morelia,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,83,8,0,163,4359,3020,0,110,212,0,0
Cancún,Nuevo Laredo,244,0,546,452,70,0,162,458,282,0,0,34,258,294,0,392,275,448,149,0,0,0,0,0,0,1383,348,0
Cancún,Oaxaca,966,769,417,856,1445,2349,2392,1300,672,517,546,739,466,628,84,0,0,0,0,0,0,5955,1313,0,0,782,338,4897
Cancún,Palenque,0,0,0,0,84,350,279,272,143,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1942,0
Cancún,Poza Rica,0,0,97,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0
Cancún,Puebla,379,5752,5940,260,0,0,0,0,0,0,0,0,0,0,0,29373,50260,42181,53098,43436,40767,39674,40154,42610,53377,89924,106353,117531
Cancún,Puerto Vallarta,155,60,494,250,0,0,0,0,0,123,0,0,0,561,0,0,0,0,0,0,45,0,324,0,0,185,177,0
