centro_turístico,categoria,corredor_turístico,cuartos_disponibles_promedio,cuartos_disponibles_x,cuartos_disponibles_y,cuartos_ocupados_total_x,porcentaje_de_ocupación_total,llegada_de_turistas_total,llegada_de_turistas_nacionales,llegada_de_turistas_extranjeros,turistas_noche_total_x,turistas_noche_nacionales_x,turistas_noche_extranjeros_x,estadía_total,estadía_nacionales,estadía_extranjeros,turistas_noche_total_y,turistas_noche_nacionales_y,turistas_noche_extranjeros_y,cuartos_ocupados_total_y,densidad_total
Tapachula,estrella_1,Sin Corredor Turístico,7408.301369863014,2704030,2704030,941373,0.34813703989970524,1311609,878515,433094,1579197,1117063,462134,1.2040150685150834,1.2715354888647319,1.0670524181817342,1579197,1117063,462134,941373,1.6775465198173307
Tapachula,estrellas_2,Sin Corredor Turístico,3681.071232876712,1343591,1343591,577484,0.4298063919749388,772882,641513,131369,1014134,855888,158246,1.3121459679485354,1.3341709365203822,1.2045916464310453,1014134,855888,158246,577484,1.7561248450173512
Tapachula,estrellas_3,Sin Corredor Turístico,3119.301369863014,1138545,1138545,387549,0.34038970791668316,372534,330978,41556,636970,591676,45294,1.7098305121143305,1.7876596027530531,1.0899509096159399,636970,591676,45294,387549,1.643585714322576
Tapachula,estrellas_4,Sin Corredor Turístico,4980.564383561644,1817906,1817906,855683,0.47069705474320456,997873,872129,125744,1420430,1258477,161953,1.423457694516236,1.4429940983501295,1.2879580735462528,1420430,1258477,161953,855683,1.6599955824762207
Tapachula,estrellas_5,Sin Corredor Turístico,2537.2,926078,926078,544737,0.5882193508538157,558450,416134,142316,992578,772153,220425,1.7773802489032142,1.8555393214685654,1.5488420135473173,992578,772153,220425,544737,1.8221233365826077
Tehuacán,estrella_1,Sin Corredor Turístico,495.8684931506849,180992,180992,69458,0.3837628182461103,144919,132739,12180,230398,210977,19421,1.5898398415666684,1.5894123053511025,1.5944991789819376,230398,210977,19421,69458,3.317083705260733
Tehuacán,estrellas_2,Sin Corredor Turístico,791.6931506849315,288968,288968,139824,0.4838736469090003,326396,303962,22434,551822,515852,35970,1.6906518462236058,1.6970937156618262,1.6033698849959883,551822,515852,35970,139824,3.9465470877674793
Tehuacán,estrellas_3,Sin Corredor Turístico,605.9232876712329,221162,221162,102912,0.4653240610954866,209279,184798,24481,329067,290197,38870,1.5723842334873541,1.5703470816783731,1.587761937829337,329067,290197,38870,102912,3.19755713619403
Tehuacán,estrellas_4,Sin Corredor Turístico,1199.035616438356,437648,437648,248640,0.5681278104778269,568556,511726,56830,941038,850661,90377,1.655136873060877,1.6623368755935795,1.5903044166813303,941038,850661,90377,248640,3.784740990990991
Tehuacán,estrellas_5,Sin Corredor Turístico,1054.627397260274,384939,384939,154354,0.40098301289295185,320615,287615,33000,483397,430826,52571,1.5077179795081328,1.4979260469725153,1.593060606060606,483397,430826,52571,154354,3.131742617619239
