Origen,Destino,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Apatzingán,Morelia,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apatzingán,Toluca,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apatzingán,Uruapan,207,0,5,11,23,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apatzingán,Zihuatanejo,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahía De Santa Lucia,Total,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahía De Santa Lucia,Cancún,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Campeche,Total,368,418,483,378,369,375,507,780,1043,806,360,734,970,1234,1044,1236,1261,1087,1219,1175,1260,1364,1606,1486,1437,1257,1075,1047
Campeche,Acapulco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,3,4,0,0,0,0
Campeche,Cancún,0,0,0,1,1,0,0,120,140,5,0,0,0,1,0,1,75,0,0,0,0,3,0,0,26,0,0,0
Campeche,Chihuahua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Campeche,Ciudad del Carmen,0,0,1,0,0,0,0,26,163,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0
Campeche,Ciudad Juárez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Campeche,Cozumel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Campeche,Durango,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Campeche,Guadalajara,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Campeche,León,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,3,0,0,0,0,0
Campeche,Mazatlán,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Campeche,Mérida,1,0,0,0,0,1,3,0,0,0,0,0,0,3,1,0,3,12,8,12,5,2,0,0,1,0,0,0
Campeche,México,367,418,480,376,368,373,504,607,543,794,360,731,922,1102,1043,1233,1091,1066,1202,1156,1250,1356,1596,1476,1406,1254,1075,1046
Campeche,Minatitlán,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Campeche,Monterrey,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0
Campeche,Morelia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
Campeche,Oaxaca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Campeche,Puebla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Campeche,Querétaro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Campeche,San Luis Potosí,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Campeche,Tampico,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Campeche,Tapachula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Campeche,Tepic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Campeche,Toluca,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,87,0,0,0,0,0,0,0,0,1,0,0
Campeche,Tuxtla Gutiérrez,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Campeche,Veracruz,0,0,0,0,0,0,0,0,98,7,0,0,0,0,0,0,0,5,3,4,0,0,1,3,1,0,0,0
Campeche,Villahermosa,0,0,0,0,0,0,0,0,98,0,0,2,48,123,0,1,0,0,2,1,0,0,0,0,0,0,0,0
Cancún,Total,12570,14846,12858,12587,13115,13855,14785,15952,15615,14887,15787,17459,18473,14777,16399,19894,19657,17649,18315,17048,21062,22131,22977,24150,26324,29367,31410,31694
Cancún,Acapulco,12,20,10,11,1,2,3,7,13,0,3,8,2,2,0,1,4,0,0,0,10,6,6,5,3,3,0,28
Cancún,Aguascalientes,0,11,9,10,6,0,0,0,0,1,3,4,3,4,2,4,6,1,3,4,95,118,159,128,173,226,607,200
Cancún,Bahía De Santa Lucia,0,7,0,1,0,0,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cancún,Campeche,0,0,0,0,0,0,0,122,136,7,1,0,0,1,1,0,74,0,0,0,0,3,0,0,25,0,0,0
Cancún,Cancún,0,0,0,0,0,5,27,29,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cancún,Celaya,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cancún,Chetumal,32,989,209,139,181,358,570,434,572,368,56,1,1,1,0,59,81,0,0,0,0,0,0,0,0,0,0,0
Cancún,Chichén Itzá,120,112,120,85,131,89,24,3,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0
Cancún,Chihuahua,8,36,18,8,17,8,8,23,20,14,13,16,319,52,6,171,18,21,35,42,41,89,108,48,53,50,192,506
Cancún,Ciudad del Carmen,0,0,0,1,0,0,0,0,100,7,0,111,120,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0
Cancún,Ciudad Juárez,9,83,64,7,10,3,7,6,5,6,7,6,315,353,569,462,24,8,23,12,19,65,49,33,37,67,189,334
Cancún,Ciudad Obregón,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Cancún,Colima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Cancún,Cozumel,3772,4111,3676,3226,2915,3016,2806,3299,2638,2188,2049,1234,1152,576,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Cancún,Cuernavaca,0,0,0,0,0,0,0,0,16,32,48,0,0,0,0,4,0,0,0,0,47,84,0,0,0,0,0,0
