estado,museo,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,clas_visitantes
Coahuila,Total Estado,358.0,34.0,22.0,2.0,61.0,496.0,315.0,282.0,156.0,84.0,71.0,121.0,77.0,42.0,60.0,128.0,156.0,182.0,84.0,44.0,    Visitantes Internacionales
Coahuila,Museo Regional de la Laguna,64864.0,117910.0,75362.0,54369.0,55362.0,49921.0,41556.0,73268.0,102262.0,111866.0,104142.0,130057.0,114651.0,322659.0,58110.0,102697.0,57074.0,69702.0,62634.0,25739.0,Total Visitantes
Coahuila,Museo Regional de la Laguna,64506.0,117876.0,75340.0,54367.0,55301.0,49425.0,41241.0,72986.0,102106.0,111782.0,104071.0,129936.0,114574.0,322617.0,58050.0,102569.0,56918.0,69520.0,62550.0,25695.0,    Visitantes Nacionales
Coahuila,Museo Regional de la Laguna,358.0,34.0,22.0,2.0,61.0,496.0,315.0,282.0,156.0,84.0,71.0,121.0,77.0,42.0,60.0,128.0,156.0,182.0,84.0,44.0,    Visitantes Internacionales
Colima,Total Estado,12817.0,17654.0,28027.0,27826.0,33477.0,27859.0,18680.0,17052.0,19475.0,15941.0,20458.0,17370.0,17244.0,15320.0,13641.0,12424.0,16569.0,13248.0,15412.0,21344.0,Total Visitantes
Colima,Total Estado,11278.0,15714.0,26215.0,25855.0,29501.0,23039.0,13876.0,14096.0,16047.0,13436.0,18379.0,16435.0,16191.0,14840.0,13136.0,11302.0,14956.0,11955.0,14797.0,20812.0,    Visitantes Nacionales
Colima,Total Estado,1539.0,1940.0,1812.0,1971.0,3976.0,4820.0,4804.0,2956.0,3428.0,2505.0,2079.0,935.0,1053.0,480.0,505.0,1122.0,1613.0,1293.0,615.0,532.0,    Visitantes Internacionales
Colima,Museo Regional de Historia de Colima,12817.0,17654.0,28027.0,27826.0,33477.0,27859.0,18680.0,17052.0,19475.0,15941.0,20458.0,17370.0,17244.0,15320.0,13641.0,12424.0,16569.0,13248.0,15412.0,21344.0,Total Visitantes
Colima,Museo Regional de Historia de Colima,11278.0,15714.0,26215.0,25855.0,29501.0,23039.0,13876.0,14096.0,16047.0,13436.0,18379.0,16435.0,16191.0,14840.0,13136.0,11302.0,14956.0,11955.0,14797.0,20812.0,    Visitantes Nacionales
Colima,Museo Regional de Historia de Colima,1539.0,1940.0,1812.0,1971.0,3976.0,4820.0,4804.0,2956.0,3428.0,2505.0,2079.0,935.0,1053.0,480.0,505.0,1122.0,1613.0,1293.0,615.0,532.0,    Visitantes Internacionales
Ciudad de México,Total Estado,3310800.0,3410684.0,3322964.0,3646270.0,3985986.0,4909183.0,3969214.0,4361367.0,4397628.0,3866079.0,4237243.0,4355363.0,4924346.0,5205009.0,5369799.0,5735355.0,5071444.0,6247205.0,7232707.0,7976428.0,Total Visitantes
Ciudad de México,Total Estado,2705138.0,2931753.0,2911911.0,3248144.0,3543223.0,4461381.0,3541074.0,3996391.0,4034557.0,3633398.0,3941829.0,4026449.0,4598884.0,4845926.0,4932948.0,5276994.0,4617088.0,5782401.0,6596962.0,7299108.0,    Visitantes Nacionales
Ciudad de México,Total Estado,605662.0,478931.0,411053.0,398126.0,442763.0,447802.0,428140.0,364976.0,363071.0,232681.0,295414.0,328914.0,325462.0,359083.0,436851.0,458361.0,454356.0,464804.0,635745.0,677320.0,    Visitantes Internacionales
Ciudad de México,"Centro Comunitario Culhuacán, Ex Convento de San Juan Evangelista",4340.0,4380.0,26598.0,12000.0,18632.0,19320.0,36782.0,63257.0,62942.0,67537.0,78131.0,109900.0,156681.0,162340.0,143027.0,141193.0,153885.0,83167.0,142392.0,161843.0,Total Visitantes
Ciudad de México,"Centro Comunitario Culhuacán, Ex Convento de San Juan Evangelista",4330.0,4379.0,26513.0,11988.0,18610.0,19314.0,36773.0,63223.0,62941.0,67535.0,78131.0,109900.0,156679.0,162337.0,143027.0,140906.0,152806.0,82639.0,141744.0,161721.0,    Visitantes Nacionales
Ciudad de México,"Centro Comunitario Culhuacán, Ex Convento de San Juan Evangelista",10.0,1.0,85.0,12.0,22.0,6.0,9.0,34.0,1.0,2.0,0.0,0.0,2.0,3.0,0.0,287.0,1079.0,528.0,648.0,122.0,    Visitantes Internacionales
Ciudad de México,Galería de Historia,192465.0,0.0,7535.0,284258.0,246070.0,290475.0,254917.0,238943.0,266392.0,258777.0,367139.0,252244.0,267436.0,273970.0,345854.0,430400.0,262679.0,296470.0,184796.0,187672.0,Total Visitantes
Ciudad de México,Galería de Historia,191702.0,0.0,7359.0,283395.0,245889.0,290292.0,254898.0,238943.0,266372.0,258195.0,366509.0,251822.0,267255.0,273654.0,345704.0,429536.0,262396.0,295796.0,183655.0,186702.0,    Visitantes Nacionales
Ciudad de México,Galería de Historia,763.0,0.0,176.0,863.0,181.0,183.0,19.0,0.0,20.0,582.0,630.0,422.0,181.0,316.0,150.0,864.0,283.0,674.0,1141.0,970.0,    Visitantes Internacionales
Ciudad de México,Museo Casa Carranza,17156.0,14876.0,16288.0,17315.0,14408.0,13142.0,22195.0,39768.0,27059.0,26353.0,31131.0,23384.0,24439.0,28557.0,25725.0,25557.0,23676.0,26852.0,25738.0,23543.0,Total Visitantes
Ciudad de México,Museo Casa Carranza,17039.0,14744.0,16211.0,17222.0,14175.0,13030.0,22041.0,39623.0,26853.0,26046.0,30946.0,23232.0,24271.0,28283.0,25505.0,25353.0,23449.0,26664.0,25614.0,23429.0,    Visitantes Nacionales
Ciudad de México,Museo Casa Carranza,117.0,132.0,77.0,93.0,233.0,112.0,154.0,145.0,206.0,307.0,185.0,152.0,168.0,274.0,220.0,204.0,227.0,188.0,124.0,114.0,    Visitantes Internacionales
