"Estado","Museos ",2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,"2012 1/",2013,2014,2015,2016,"2017 2/",2018,2019
,"    Visitantes Nacionales",35009,28335,27182,34127,39002,36352,36111,66908,56338,48276,27069,50258,50037,61055,37204,65191,65439,37492,13817,19702
,"    Visitantes Internacionales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Ex-Convento de Oxtotipac",3558,3281,5302,2858,3567,2972,2764,3181,2296,1471,2305,4084,4253,6050,10998,12594,16654,12442,8914,12179
,"    Visitantes Nacionales",3404,3208,5161,2835,3462,2884,2615,3146,2296,1416,2268,4040,4228,6050,10998,12594,16654,12442,8914,12179
,"    Visitantes Internacionales",154,73,141,23,105,88,149,35,0,55,37,44,25,0,0,0,0,0,0,0
,"Museo de los Murales Teotihuacanos ""Beatriz de la Fuente""",110920,0,27682,29847,28760,0,0,23127,14810,18174,16441,20779,159980,81668,20683,50783,47039,20185,25798,30587
,"    Visitantes Nacionales",104651,0,24387,25279,23638,0,0,18997,11633,14730,13036,17316,133509,64412,17567,42620,23609,15475,18910,23114
,"    Visitantes Internacionales",6269,0,3295,4568,5122,0,0,4130,3177,3444,3405,3463,26471,17256,3116,8163,23430,4710,6888,7473
,"Museo Nacional del Virreinato",230151,244144,209279,212569,276248,230508,222993,225742,225520,228006,249748,252325,231435,223527,249387,254214,281808,261457,255134,276665
,"    Visitantes Nacionales",215758,236131,201987,205330,267604,223556,216406,218048,219514,223544,245412,248724,227543,219780,245732,250064,276363,256181,249662,273547
,"    Visitantes Internacionales",14393,8013,7292,7239,8644,6952,6587,7694,6006,4462,4336,3601,3892,3747,3655,4150,5445,5276,5472,3118
,"Museo Prehistórico de Tepexpan",58758,49908,47454,41044,55090,44918,33709,20058,19570,21132,13637,15488,11892,13368,12630,17514,15055,13833,9754,5309
,"    Visitantes Nacionales",58471,49726,47355,40884,54973,44815,33577,20054,19557,21109,13581,15441,11890,13353,12603,17487,15032,13824,9686,5309
,"    Visitantes Internacionales",287,182,99,160,117,103,132,4,13,23,56,47,2,15,27,27,23,9,68,0
,"Museo Virreinal de Acolman",0,123039,127865,122916,117889,117130,101550,80643,82558,69255,60717,42434,57403,80876,79863,68686,51715,44508,41582,80914
,"    Visitantes Nacionales",0,117082,122258,117496,111688,112579,97697,72814,78116,66884,56140,39205,54951,77325,76194,64580,49706,43022,40092,80046
,"    Visitantes Internacionales",0,5957,5607,5420,6201,4551,3853,7829,4442,2371,4577,3229,2452,3551,3669,4106,2009,1486,1490,868
,,,,,,,,,,,,,,,,,,,,,
"Guanajuato",,415390,388756,454261,413058,352961,425354,411317,384128,272267,327618,458431,406019,428413,444666,442998,493504,554941,567535,557436,472583
,"    Visitantes Nacionales",400487,376639,440716,399573,339558,409289,395218,374312,264979,318021,448713,396360,417362,430952,429681,480115,539961,549015,536741,451447
,"    Visitantes Internacionales",14903,12117,13545,13485,13403,16065,16099,9816,7288,9597,9718,9659,11051,13714,13317,13389,14980,18520,20695,21136
,"Casa de Hidalgo",85815,80631,81802,82974,79574,83954,81656,82753,76059,79592,113534,85850,74917,80113,83970,92434,101734,101932,101031,78951
,"    Visitantes Nacionales",84603,79494,80471,82075,78482,82736,79564,81330,74846,78449,112686,84988,73816,79002,82542,91136,100451,99781,98451,76602
,"    Visitantes Internacionales",1212,1137,1331,899,1092,1218,2092,1423,1213,1143,848,862,1101,1111,1428,1298,1283,2151,2580,2349
,"Ex-Convento Agustino de Fray Juan de Sahagún",3326,2414,3644,3445,3715,3889,4498,35,1973,3566,4860,2595,9456,7987,6667,8706,5972,5359,4677,4058
,"    Visitantes Nacionales",3108,2390,3590,3415,3692,3828,4391,35,1962,3547,4850,2595,9443,7897,6610,8659,5948,5347,4677,4058
,"    Visitantes Internacionales",218,24,54,30,23,61,107,0,11,19,10,0,13,90,57,47,24,12,0,0
,"Museo Casa de Hidalgo ""La Francia Chiquita""",6174,5603,5691,7226,3661,7052,6986,5423,0,390,442,5384,4903,4986,4004,4109,4242,4537,3553,3749
,"    Visitantes Nacionales",6108,5562,5633,7181,3636,6924,6823,5316,0,390,442,5363,4839,4882,3902,3961,4091,4390,3450,3674
,"    Visitantes Internacionales",66,41,58,45,25,128,163,107,0,0,0,21,64,104,102,148,151,147,103,75
,"Museo Casa del Dr. José María Luis Mora",5454,5588,7090,7223,4916,8888,9211,11235,8711,13646,14396,23266,23920,16806,24174,24551,29051,27550,26441,19025
,"    Visitantes Nacionales",5144,5588,7090,7223,4916,8818,9135,11233,8711,13646,14396,23266,23920,16806,24174,24551,29051,27550,26441,19025
,"    Visitantes Internacionales",310,0,0,0,0,70,76,2,0,0,0,0,0,0,0,0,0,0,0,0
,"Museo Ex Convento Agustino de San Pablo",9937,9296,11457,10794,10534,11640,12744,12698,9441,10153,11069,11005,10204,8740,12481,14710,22786,24885,23202,16429
,"    Visitantes Nacionales",9343,8817,10812,10339,9867,11233,12047,12523,9206,10019,10802,10885,10172,8688,12459,14636,22114,24014,22670,16025
,"    Visitantes Internacionales",594,479,645,455,667,407,697,175,235,134,267,120,32,52,22,74,672,871,532,404
,"Museo Histórico de San Miguel de Allende",44216,44384,50445,51510,57273,47967,49529,49526,0,58435,109751,99912,101784,104182,95657,103938,111464,133020,131094,121273
,"    Visitantes Nacionales",42255,42307,47941,46663,50052,40947,43558,47627,0,55893,105822,96111,97035,97690,90495,99962,108913,128408,125624,116476
,"    Visitantes Internacionales",1961,2077,2504,4847,7221,7020,5971,1899,0,2542,3929,3801,4749,6492,5162,3976,2551,4612,5470,4797
,"Museo Local de Valle de Santiago",7694,8047,7589,7090,6918,8531,7797,12025,0,0,0,0,0,0,0,0,0,0,0,0
,"    Visitantes Nacionales",7661,7988,7499,7005,6806,8379,7596,11511,0,0,0,0,0,0,0,0,0,0,0,0
,"    Visitantes Internacionales",33,59,90,85,112,152,201,514,0,0,0,0,0,0,0,0,0,0,0,0
,"Museo Regional de Guanajuato Alhóndiga de Granaditas",252774,232793,286543,242796,186370,253433,238896,210433,176083,161836,204379,178007,203229,221852,216045,245056,279692,270252,267438,229098
,"    Visitantes Nacionales",242265,224493,277680,235672,182107,246424,232104,204737,170254,156077,199715,173152,198137,215987,209499,237210,269393,259525,255428,215587
,"    Visitantes Internacionales",10509,8300,8863,7124,4263,7009,6792,5696,5829,5759,4664,4855,5092,5865,6546,7846,10299,10727,12010,13511
,,,,,,,,,,,,,,,,,,,,,
"Guerrero",,74016,82290,120129,151619,163273,153365,167168,210783,191099,195561,193301,159298,102377,85155,133208,109738,101675,145669,138473,137000
,"    Visitantes Nacionales",68541,72822,103472,127368,138838,126706,129749,194652,178182,186352,182096,150026,99699,81821,128875,104308,94441,134938,130427,127252
,"    Visitantes Internacionales",5475,9468,16657,24251,24435,26659,37419,16131,12917,9209,11205,9272,2678,3334,4333,5430,7234,10731,8046,9748
,"Museo Guillermo Spratling",10214,14273,11526,10043,11106,9647,12264,15139,25040,18722,16205,16417,14596,14696,15896,15989,18004,16551,18099,19059
,"    Visitantes Nacionales",8189,12023,9589,8096,9122,7955,9207,13236,23748,17837,15163,15085,13422,12367,13445,13275,15082,13881,15725,16435
,"    Visitantes Internacionales",2025,2250,1937,1947,1984,1692,3057,1903,1292,885,1042,1332,1174,2329,2451,2714,2922,2670,2374,2624
,"Museo Histórico de Acapulco, Fuerte de San Diego",8223,32305,60190,83799,87945,86672,87269,82069,69817,90529,107517,88038,87781,70459,117312,93749,83301,82118,69612,65153
,"    Visitantes Nacionales",5129,25212,45652,61749,65610,61897,53167,68041,58434,82338,97429,81226,86277,69454,115430,91033,79004,74402,64082,58397
,"    Visitantes Internacionales",3094,7093,14538,22050,22335,24775,34102,14028,11383,8191,10088,6812,1504,1005,1882,2716,4297,7716,5530,6756
,"Museo Regional de Guerrero",55579,35712,48413,57777,64222,57046,67635,113575,96242,86310,69579,54843,0,0,0,0,370,47000,50762,52788
,"    Visitantes Nacionales",55223,35587,48231,57523,64106,56854,67375,113375,96000,86177,69504,53715,0,0,0,0,355,46655,50620,52420
,"    Visitantes Internacionales",356,125,182,254,116,192,260,200,242,133,75,1128,0,0,0,0,15,345,142,368
,,,,,,,,,,,,,,,,,,,,,
"Hidalgo",,62754,59128,90649,92441,80095,71370,83849,91708,92412,109772,89620,85958,74165,86648,84789,79343,91798,82605,91514,86667
,"    Visitantes Nacionales",60827,57886,88195,89576,79420,69745,82739,90834,91134,108515,88191,84938,73521,85946,81468,77995,90197,81309,90084,85477
,"    Visitantes Internacionales",1927,1242,2454,2865,675,1625,1110,874,1278,1257,1429,1020,644,702,3321,1348,1601,1296,1430,1190
,"Ex - convento de San Andrés Epazoyucan",4899,5010,8782,12023,14999,15176,20190,22668,25371,45261,24786,20864,16151,18318,18376,17990,20161,18447,22340,15249
,"    Visitantes Nacionales",4474,4944,8619,11841,14831,15000,19958,22619,25326,45205,24705,20826,16121,18297,18355,17984,20118,18439,22319,15220
,"    Visitantes Internacionales",425,66,163,182,168,176,232,49,45,56,81,38,30,21,21,6,43,8,21,29
,"Ex - convento de San Miguel Arcángel, Ixmiquilpan",10325,10819,3663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"    Visitantes Nacionales",10176,10454,3642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"    Visitantes Internacionales",149,365,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Museo de Actopan",16277,15902,17090,18299,18745,19183,22091,20805,19935,18217,19795,21948,17919,16217,18527,17590,18846,20223,21844,22569
,"    Visitantes Nacionales",15590,15852,17032,18264,18745,19180,21945,20672,19767,18107,19630,21840,17829,16078,16595,17537,18744,20139,21792,22446
,"    Visitantes Internacionales",687,50,58,35,0,3,146,133,168,110,165,108,90,139,1932,53,102,84,52,123
,"Museo de la Fotografía",31253,27397,44409,47437,32570,24153,26258,30164,29314,27429,27749,27407,22972,35142,30607,29043,33224,31381,32964,33585
,"    Visitantes Nacionales",30587,26636,42333,45432,32119,22790,25693,29601,28437,26888,27253,26972,22577,34733,29810,28246,32481,30693,32137,32932
,"    Visitantes Internacionales",666,761,2076,2005,451,1363,565,563,877,541,496,435,395,409,797,797,743,688,827,653
,"Museo Regional de Hidalgo",0,0,0,0,0,24153,0,3660,463,0,0,0,0,0,0,0,0,0,0,0
,"    Visitantes Nacionales",0,0,0,0,0,0,0,3623,460,0,0,0,0,0,0,0,0,0,0,0
