"Estado","Zonas Arqueológicas",2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,"20191/"
,"    Visitantes Nacionales",10.928,10.076,13.147,14.232,17.040,18.113,14.921,13.435,55.652,34.939,30.344,58.407,44.993,44.058,64.873,42.302,38.851,41.977,67.359,44.896
,"    Visitantes Internacionales",8.430,5.324,6.721,10.785,9.868,11.908,10.143,19.277,17.456,14.053,11.854,9.731,7.856,5.145,10.602,7.904,7.644,15.525,28.362,13.005
,"Z.A. de Chiapa de Corzo",0,0,0,0,0,0,0,0,0,0,4.240,4.822,4.715,3.769,4.297,5.569,6.037,3.588,0,252
,"    Visitantes Nacionales",0,0,0,0,0,0,0,0,0,0,3.943,4.596,4.505,3.596,4.081,5.298,5.604,3.331,0,234
,"    Visitantes Internacionales",0,0,0,0,0,0,0,0,0,0,297,226,210,173,216,271,433,257,0,18
,"Z.A. de Chincultic",18.191,21.038,12.266,12.266,10.092,10.218,9.462,9.454,5.416,0,15.543,21.384,20.157,12.663,23.327,33.165,30.534,20.459,17.774,24.856
,"    Visitantes Nacionales",17.243,19.903,11.084,11.490,9.268,9.408,8.831,9.032,5.156,0,14.155,20.354,19.214,12.205,22.942,32.424,29.370,19.258,16.617,22.812
,"    Visitantes Internacionales",948,1.135,1.182,776,824,810,631,422,260,0,1.388,1.030,943,458,385,741,1.164,1.201,1.157,2.044
,"Z.A. de Iglesia Vieja",0,0,0,0,0,0,0,0,0,0,0,0,619,3.087,6.239,5.082,5.256,3.258,1.530,5.889
,"    Visitantes Nacionales",0,0,0,0,0,0,0,0,0,0,0,0,614,3.031,6.126,5.027,5.187,3.165,1.469,5.798
,"    Visitantes Internacionales",0,0,0,0,0,0,0,0,0,0,0,0,5,56,113,55,69,93,61,91
,"Z.A. de Izapa",3.234,3.708,7.154,16.847,12.701,15.483,19.299,19.566,22.497,28.802,31.040,43.108,54.108,38.554,37.276,34.306,29.053,26.788,27.496,27.273
,"    Visitantes Nacionales",2.772,3.298,6.319,15.665,11.810,14.568,18.112,17.086,17.282,22.356,20.254,31.417,45.082,21.316,23.453,22.999,17.983,20.065,20.318,23.157
,"    Visitantes Internacionales",462,410,835,1.182,891,915,1.187,2.480,5.215,6.446,10.786,11.691,9.026,17.238,13.823,11.307,11.070,6.723,7.178,4.116
,"Z.A. de Palenque con museo ""Alberto Ruz L´Huiller""",360.876,322.465,319.647,450.349,426.433,485.618,556.474,651.850,706.569,555.138,399.618,521.053,579.658,584.391,760.310,930.867,655.417,920.470,747.605,824.311
,"    Visitantes Nacionales",195.847,181.277,185.622,242.278,222.631,239.307,291.754,356.173,444.644,368.244,237.284,369.662,450.993,478.416,643.899,778.157,542.734,743.384,576.688,617.938
,"    Visitantes Internacionales",165.029,141.188,134.025,208.071,203.802,246.311,264.720,295.677,261.925,186.894,162.334,151.391,128.665,105.975,116.411,152.710,112.683,177.086,170.917,206.373
,"Z.A. de Tenam Puente",27.584,31.014,31.242,32.310,31.867,21.839,19.269,13.408,12.173,12.514,11.696,19.647,19.977,27.569,15.875,14.316,14.633,15.212,17.495,21.043
,"    Visitantes Nacionales",26.360,28.896,28.561,28.943,28.617,20.704,18.334,13.031,11.592,12.073,11.073,18.853,19.203,26.987,15.287,13.994,14.362,14.940,16.808,20.241
,"    Visitantes Internacionales",1.224,2.118,2.681,3.367,3.250,1.135,935,377,581,441,623,794,774,582,588,322,271,272,687,802
,"Z.A. de Toniná con museo de sitio",31.677,40.486,47.465,51.127,46.523,44.944,48.021,65.238,74.781,77.729,73.918,120.211,53.514,38.373,38.029,51.028,49.739,55.273,57.359,57.189
,"    Visitantes Nacionales",23.576,34.858,38.340,43.409,39.106,39.160,40.161,57.050,65.436,70.883,68.168,115.019,51.547,37.021,36.646,48.631,47.180,51.355,51.553,52.906
