"Estado","Zonas Arqueológicas",2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,"20191/"
,"    Visitantes Nacionales",1.908,2.371,4.009,3.490,3.427,4.199,4.394,5.552,4.847,5.099,2.660,2.036,3.418,4.238,1.579,2.877,3.524,4.559,3.508,3.748
,"    Visitantes Internacionales",17,89,148,185,90,64,52,660,112,72,74,23,0,4,0,9,0,0,371,20
,"Z.A. de Boca de Potrerillos",1.925,2.460,4.157,3.675,3.517,4.263,4.446,6.212,4.959,5.171,2.734,2.059,3.418,4.242,1.579,2.886,3.524,4.559,3.879,3.768
,"    Visitantes Nacionales",1.908,2.371,4.009,3.490,3.427,4.199,4.394,5.552,4.847,5.099,2.660,2.036,3.418,4.238,1.579,2.877,3.524,4.559,3.508,3.748
,"    Visitantes Internacionales",17,89,148,185,90,64,52,660,112,72,74,23,0,4,0,9,0,0,371,20
,,,,,,,,,,,,,,,,,,,,,
"Oaxaca",,567.800,644.855,671.026,720.681,787.612,745.464,493.825,475.977,619.304,597.997,598.138,567.296,524.166,476.487,498.830,565.622,546.270,629.453,622.085,680.461
,"    Visitantes Nacionales",395.730,465.751,496.835,532.729,626.325,596.503,386.867,378.112,493.659,512.565,528.942,502.394,452.025,401.809,437.748,496.155,476.540,554.040,546.803,592.172
,"    Visitantes Internacionales",172.070,179.104,174.191,187.952,161.287,148.961,106.958,97.865,125.645,85.432,69.196,64.902,72.141,74.678,61.082,69.467,69.730,75.413,75.282,88.289
,"Z.A de Atzompa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.968,35.958,22.161,18.877,23.268
,"    Visitantes Nacionales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.316,34.625,20.910,18.328,21.954
,"    Visitantes Internacionales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,652,1.333,1.251,549,1.314
,"Z.A. de Bocana del Río Copalita (con museo de sitio)",0,0,0,0,0,0,0,0,0,0,0,0,0,13.208,10.266,12.269,12.966,14.103,13.510,13.415
,"    Visitantes Nacionales",0,0,0,0,0,0,0,0,0,0,0,0,0,7.679,6.723,7.533,7.194,9.598,8.482,9.154
,"    Visitantes Internacionales",0,0,0,0,0,0,0,0,0,0,0,0,0,5.529,3.543,4.736,5.772,4.505,5.028,4.261
,"Z.A. de Dainzú",4.659,4.138,3.677,2.971,4.002,4.375,2.521,4.215,5.206,5.244,4.780,3.178,3.330,4.816,4.601,5.731,6.097,5.833,4.561,4.688
,"    Visitantes Nacionales",3.409,2.997,2.825,2.155,3.030,3.051,1.759,3.583,4.566,4.494,4.244,2.670,3.094,4.709,4.404,5.570,5.944,5.491,4.329,4.447
,"    Visitantes Internacionales",1.250,1.141,852,816,972,1.324,762,632,640,750,536,508,236,107,197,161,153,342,232,241
,"Z.A. de Guiengola",2.235,2.344,2.691,2.552,2.830,2.833,2.588,3.219,3.107,2.631,2.711,3.179,3.308,3.945,2.611,3.020,3.125,2.757,2.529,3.094
,"    Visitantes Nacionales",2.137,2.110,2.596,2.366,2.661,2.714,2.510,3.152,2.998,2.521,2.595,3.040,3.222,3.943,2.609,3.016,3.102,2.750,2.516,3.033
,"    Visitantes Internacionales",98,234,95,186,169,119,78,67,109,110,116,139,86,2,2,4,23,7,13,61
,"Z.A. de Huamelulpan",0,0,0,0,0,0,0,0,0,0,873,994,1.090,2.636,2.745,2.289,4.074,3.803,2.748,3.257
,"    Visitantes Nacionales",0,0,0,0,0,0,0,0,0,0,798,953,1.080,2.636,2.738,2.289,3.949,3.764,2.737,3.217
,"    Visitantes Internacionales",0,0,0,0,0,0,0,0,0,0,75,41,10,0,7,0,125,39,11,40
,"Z.A. de Huijazoo",6.167,8.855,5.423,9.385,8.328,8.631,4.999,3.617,4.622,4.705,3.787,10.689,5.051,5.475,6.217,5.285,4.861,4.488,3.551,5.674
,"    Visitantes Nacionales",5.197,7.839,4.484,8.021,6.992,7.065,3.936,2.817,3.739,4.009,2.806,8.680,4.187,5.348,5.642,5.285,4.640,4.330,3.450,5.185
,"    Visitantes Internacionales",970,1.016,939,1.364,1.336,1.566,1.063,800,883,696,981,2.009,864,127,575,0,221,158,101,489
,"Z.A. de Lambityeco",4.439,4.201,3.613,2.820,2.957,4.781,1.103,1.506,1.563,1.528,1.443,2.830,1.702,3.143,8.961,1.796,1.782,3.047,3.750,3.331
,"    Visitantes Nacionales",2.621,2.865,2.657,1.954,1.777,3.740,661,1.275,1.232,1.316,1.327,2.398,1.569,2.913,7.232,1.453,1.585,2.694,3.480,3.130
,"    Visitantes Internacionales",1.818,1.336,956,866,1.180,1.041,442,231,331,212,116,432,133,230,1.729,343,197,353,270,201
,"Z.A. de Mitla",98.933,119.454,141.179,133.721,174.612,138.633,104.145,96.895,147.250,139.413,121.882,100.067,93.935,80.678,91.488,88.791,95.144,128.797,109.556,87.518
,"    Visitantes Nacionales",64.974,78.473,92.451,86.714,138.624,103.555,75.279,71.372,117.956,118.334,105.279,80.365,78.319,67.243,79.497,75.102,84.868,119.163,94.604,70.252
,"    Visitantes Internacionales",33.959,40.981,48.728,47.007,35.988,35.078,28.866,25.523,29.294,21.079,16.603,19.702,15.616,13.435,11.991,13.689,10.276,9.634,14.952,17.266
,"Z.A. de Monte Albán con museo de sitio",421.493,476.339,494.203,542.899,572.352,556.444,357.448,347.334,438.368,423.547,439.736,424.144,395.177,344.583,355.915,404.859,362.233,429.702,443.075,517.586
,"    Visitantes Nacionales",295.629,349.097,374.965,409.330,455.310,452.935,286.081,279.355,347.854,364.669,391.949,384.437,342.897,291.311,315.188,357.539,312.894,372.661,391.832,455.988
,"    Visitantes Internacionales",125.864,127.242,119.238,133.569,117.042,103.509,71.367,67.979,90.514,58.878,47.787,39.707,52.280,53.272,40.727,47.320,49.339,57.041,51.243,61.598
,"Z.A. de Yagul",17.158,15.748,10.429,11.994,15.933,22.652,16.125,13.042,12.439,14.032,16.044,15.888,17.671,15.267,14.120,13.251,16.534,11.607,15.227,14.533
,"    Visitantes Nacionales",10.363,9.396,7.981,8.832,12.024,16.932,11.901,10.656,9.146,10.953,13.614,14.081,15.418,14.036,12.346,11.295,14.743,10.288,13.234,12.321
,"    Visitantes Internacionales",6.795,6.352,2.448,3.162,3.909,5.720,4.224,2.386,3.293,3.079,2.430,1.807,2.253,1.231,1.774,1.956,1.791,1.319,1.993,2.212
,"Z.A. de Zaachila",12.716,13.776,9.811,14.339,6.598,7.115,4.896,6.149,6.749,6.897,6.882,6.327,2.902,2.736,1.906,2.363,3.496,3.155,4.701,4.097
,"    Visitantes Nacionales",11.400,12.974,8.876,13.357,5.907,6.511,4.740,5.902,6.168,6.269,6.330,5.770,2.239,1.991,1.369,1.757,2.996,2.391,3.811,3.491
,"    Visitantes Internacionales",1.316,802,935,982,691,604,156,247,581,628,552,557,663,745,537,606,500,764,890,606
,,,,,,,,,,,,,,,,,,,,,
"Puebla",,233.655,251.183,260.804,270.064,273.426,263.026,275.956,194.588,253.942,330.705,312.730,357.713,444.559,857.211,839.180,943.405,740.590,589.405,646.492,725.218
,"    Visitantes Nacionales",207.416,224.015,241.048,245.242,252.966,226.644,255.465,179.261,230.898,313.930,301.979,342.554,430.472,815.182,799.160,898.099,688.538,538.328,587.693,666.632
,"    Visitantes Internacionales",26.239,27.168,19.756,24.822,20.460,36.382,20.491,15.327,23.044,16.775,10.751,15.159,14.087,42.029,40.020,45.306,52.052,51.077,58.799,58.586
,"Z.A. de Cantona",15.616,15.998,16.874,19.964,24.001,25.603,26.249,27.872,30.258,31.322,31.744,32.121,41.650,65.446,59.340,64.054,52.725,35.623,34.030,33.809
,"    Visitantes Nacionales",15.350,15.720,16.759,19.821,23.878,25.327,26.045,27.359,29.884,30.852,31.244,31.598,41.256,64.970,58.506,63.083,51.017,34.562,32.968,33.290
,"    Visitantes Internacionales",266,278,115,143,123,276,204,513,374,470,500,523,394,476,834,971,1.708,1.061,1.062,519
,"Z.A. de Cholula con museo de sitio",196.889,210.601,215.880,220.150,217.425,203.710,217.574,130.079,176.368,253.889,234.589,278.566,345.309,701.101,691.671,753.391,609.563,496.518,554.059,631.145
,"    Visitantes Nacionales",171.554,184.246,196.745,195.772,197.510,168.077,197.831,116.377,154.948,238.445,225.211,264.766,332.218,660.453,653.572,710.086,560.339,447.567,497.364,573.925
,"    Visitantes Internacionales",25.335,26.355,19.135,24.378,19.915,35.633,19.743,13.702,21.420,15.444,9.378,13.800,13.091,40.648,38.099,43.305,49.224,48.951,56.695,57.220
,"Z.A. de San Cristobal Tepatlaxco",3.582,3.538,3.465,3.334,3.854,4.379,3.846,5.025,3.845,5.245,8.371,7.755,6.291,9.455,11.399,12.659,8.887,3.798,3.070,3.056
,"    Visitantes Nacionales",3.582,3.530,3.465,3.332,3.854,4.379,3.846,5.019,3.845,5.245,8.371,7.753,6.291,9.449,11.398,12.651,8.884,3.794,3.068,3.053
,"    Visitantes Internacionales",0,8,0,2,0,0,0,6,0,0,0,2,0,6,1,8,3,4,2,3
,"Z.A. de Tepapayeca",180,153,161,218,167,195,171,151,179,165,370,241,259,461,412,804,606,651,1.053,1.068
,"    Visitantes Nacionales",180,153,161,218,167,195,171,150,170,161,366,238,237,461,412,804,600,651,1.004,1.066
,"    Visitantes Internacionales",0,0,0,0,0,0,0,1,9,4,4,3,22,0,0,0,6,0,49,2
,"Z.A. de Tepexi el Viejo",597,711,635,1.021,735,516,428,515,974,1.669,976,965,1.149,1.920,2.622,2.467,1.768,1.197,882,974
,"    Visitantes Nacionales",565,710,628,1.011,684,506,416,503,974,1.669,976,965,1.149,1.920,2.612,2.460,1.766,1.197,881,974
,"    Visitantes Internacionales",32,1,7,10,51,10,12,12,0,0,0,0,0,0,10,7,2,0,1,0
,"Z.A. de Yohualichan",16.791,20.182,23.789,25.377,27.244,28.623,27.688,30.946,42.318,38.415,36.680,38.065,49.901,78.828,73.736,110.030,67.041,51.618,53.398,55.166
,"    Visitantes Nacionales",16.185,19.656,23.290,25.088,26.873,28.160,27.156,29.853,41.077,37.558,35.811,37.234,49.321,77.929,72.660,109.015,65.932,50.557,52.408,54.324
,"    Visitantes Internacionales",606,526,499,289,371,463,532,1.093,1.241,857,869,831,580,899,1.076,1.015,1.109,1.061,990,842
,,,,,,,,,,,,,,,,,,,,,
"Querétaro",,25.977,41.962,41.697,47.820,36.582,41.091,36.307,53.722,59.708,52.278,49.224,64.816,60.964,65.412,59.973,64.695,76.353,90.843,73.116,115.317
,"    Visitantes Nacionales",25.566,40.963,40.660,46.571,35.507,39.864,35.105,53.722,59.708,49.375,49.224,64.767,58.840,62.187,56.312,61.591,72.403,85.582,68.715,108.114
,"    Visitantes Internacionales",411,999,1.037,1.249,1.075,1.227,1.202,0,0,2.903,0,49,2.124,3.225,3.661,3.104,3.950,5.261,4.401,7.203
,"Z.A. de El Cerrito",384,4.948,11.396,17.804,6.519,4.792,6.081,25.663,32.577,28.634,24.939,34.216,29.332,37.295,35.898,36.813,43.192,55.313,36.901,78.854
,"    Visitantes Nacionales",384,4.773,11.312,17.486,6.271,4.445,5.821,25.663,32.577,25.731,24.939,34.216,27.856,34.441,33.055,34.273,39.809,50.547,33.169,72.075
,"    Visitantes Internacionales",0,175,84,318,248,347,260,0,0,2.903,0,0,1.476,2.854,2.843,2.540,3.383,4.766,3.732,6.779
,"Z.A. de Ranas",18.869,29.284,24.848,23.967,24.755,30.705,24.626,22.584,22.123,20.103,20.137,24.206,20.643,17.635,16.196,17.199,21.031,25.056,24.499,25.780
,"    Visitantes Nacionales",18.539,28.611,24.006,23.152,23.995,29.909,23.766,22.584,22.123,20.103,20.137,24.206,20.200,17.424,15.681,16.912,20.780,24.779,24.163,25.664
,"    Visitantes Internacionales",330,673,842,815,760,796,860,0,0,0,0,0,443,211,515,287,251,277,336,116
,"Z.A. de Tancama",0,0,0,0,0,0,0,0,0,0,0,2.630,7.079,7.339,5.382,7.989,7.182,6.506,6.884,6.592
,"    Visitantes Nacionales",0,0,0,0,0,0,0,0,0,0,0,2.630,6.947,7.224,5.122,7.735,6.914,6.319,6.610,6.309
,"    Visitantes Internacionales",0,0,0,0,0,0,0,0,0,0,0,0,132,115,260,254,268,187,274,283
,"Z.A. de Toluquilla",6.724,7.730,5.453,6.049,5.308,5.594,5.600,5.475,5.008,3.541,4.148,3.764,3.910,3.143,2.497,2.694,4.948,3.968,4.832,4.091
,"    Visitantes Nacionales",6.643,7.579,5.342,5.933,5.241,5.510,5.518,5.475,5.008,3.541,4.148,3.715,3.837,3.098,2.454,2.671,4.900,3.937,4.773,4.066
,"    Visitantes Internacionales",81,151,111,116,67,84,82,0,0,0,0,49,73,45,43,23,48,31,59,25
,,,,,,,,,,,,,,,,,,,,,
"Quintana Roo",,1.010.333,976.446,1.138.084,1.343.416,1.485.193,1.415.207,1.468.575,1.629.685,1.882.743,1.499.423,1.678.992,1.777.620,1.976.371,2.019.946,2.142.702,2.278.529,2.757.904,3.360.651,3.399.187,3.193.904
,"    Visitantes Nacionales",317.326,266.207,261.758,350.153,457.194,421.717,423.150,397.417,651.710,524.402,528.636,627.428,691.183,654.086,784.365,968.438,1.125.869,1.153.247,1.107.136,1.092.817
,"    Visitantes Internacionales",693.007,710.239,876.326,993.263,1.027.999,993.490,1.045.425,1.232.268,1.231.033,975.021,1.150.356,1.150.192,1.285.188,1.365.860,1.358.337,1.310.091,1.632.035,2.207.404,2.292.051,2.101.087
,"Z.A. de Chacchoben",0,0,0,47.428,50.333,70.962,82.966,57.060,9.238,34.663,66.649,56.167,60.898,55.278,54.125,56.031,85.117,124.702,108.209,176.427
,"    Visitantes Nacionales",0,0,0,12.939,10.499,8.752,10.099,7.148,4.904,13.143,21.609,17.671,17.834,11.524,7.063,6.394,10.993,17.016,16.859,14.650
,"    Visitantes Internacionales",0,0,0,34.489,39.834,62.210,72.867,49.912,4.334,21.520,45.040,38.496,43.064,43.754,47.062,49.637,74.124,107.686,91.350,161.777
,"Z.A. de Cobá",126.871,129.642,139.929,192.753,187.519,196.181,306.288,356.993,355.531,317.415,384.836,400.641,473.259,422.370,417.141,434.043,588.857,702.749,755.801,750.113
,"    Visitantes Nacionales",25.519,22.706,19.597,11.556,11.187,20.986,54.774,41.161,76.827,68.704,87.780,99.722,86.775,84.268,87.222,92.312,183.438,169.608,152.874,140.664
,"    Visitantes Internacionales",101.352,106.936,120.332,181.197,176.332,175.195,251.514,315.832,278.704,248.711,297.056,300.919,386.484,338.102,329.919,341.731,405.419,533.141,602.927,609.449
,"Z.A. de Dzibanché-Kinichná",6.856,9.155,10.563,5.950,8.412,17.273,7.556,6.863,6.995,9.642,17.462,16.140,11.541,10.046,11.024,14.798,14.912,17.045,21.862,21.326
,"    Visitantes Nacionales",5.428,6.964,4.745,4.637,5.454,9.141,4.475,4.923,5.158,6.868,12.303,11.649,9.108,7.536,8.827,9.501,9.240,10.275,9.491,9.852
,"    Visitantes Internacionales",1.428,2.191,5.818,1.313,2.958,8.132,3.081,1.940,1.837,2.774,5.159,4.491,2.433,2.510,2.197,5.297,5.672,6.770,12.371,11.474
,"Z.A. de El Meco",0,1.456,2.868,2.387,1.881,2.094,3.091,4.275,5.500,4.544,6.774,10.330,15.796,13.752,17.169,14.942,14.492,14.702,15.074,15.396
,"    Visitantes Nacionales",0,912,2.247,1.822,1.671,1.657,2.117,2.354,2.746,3.035,4.779,7.474,11.594,10.599,14.532,13.305,11.496,11.136,11.584,11.776
,"    Visitantes Internacionales",0,544,621,565,210,437,974,1.921,2.754,1.509,1.995,2.856,4.202,3.153,2.637,1.637,2.996,3.566,3.490,3.620
,"Z.A. de El Rey",18.377,13.811,13.760,14.937,19.672,15.629,6.979,7.490,8.308,7.273,7.348,8.144,12.047,13.660,12.742,17.262,18.634,20.392,20.975,21.917
,"    Visitantes Nacionales",8.030,6.401,7.391,10.531,12.410,9.502,4.447,3.776,4.361,3.496,3.701,3.771,6.936,7.643,7.415,9.813,11.343,12.204,13.066,11.751
,"    Visitantes Internacionales",10.347,7.410,6.369,4.406,7.262,6.127,2.532,3.714,3.947,3.777,3.647,4.373,5.111,6.017,5.327,7.449,7.291,8.188,7.909,10.166
,"Z.A. de Kohunlich",18.728,23.858,28.341,26.950,30.448,38.554,34.962,30.357,26.720,28.886,51.006,50.515,34.324,27.635,31.810,25.861,30.567,36.105,46.890,42.813
,"    Visitantes Nacionales",9.918,13.631,11.947,11.094,11.678,12.994,9.201,8.488,10.108,13.412,31.810,34.128,23.333,17.837,19.521,10.610,14.024,15.481,15.746,14.558
,"    Visitantes Internacionales",8.810,10.227,16.394,15.856,18.770,25.560,25.761,21.869,16.612,15.474,19.196,16.387,10.991,9.798,12.289,15.251,16.543,20.624,31.144,28.255
,"Z.A. de Muyil",1.371,1.462,2.414,3.871,5.656,6.351,6.358,5.370,5.100,3.957,3.184,2.691,5.187,5.803,10.223,10.573,12.355,18.106,22.545,18.131
,"    Visitantes Nacionales",583,579,761,1.275,2.504,2.541,1.580,1.677,1.397,1.425,1.024,761,2.656,3.148,4.568,4.372,5.937,6.932,8.439,6.443
,"    Visitantes Internacionales",788,883,1.653,2.596,3.152,3.810,4.778,3.693,3.703,2.532,2.160,1.930,2.531,2.655,5.655,6.201,6.418,11.174,14.106,11.688
,"Z.A. de Oxtankah",12.771,18.934,11.391,12.748,9.758,11.071,9.490,7.807,10.845,10.271,8.573,8.720,9.508,8.736,7.580,8.017,10.300,11.062,12.170,13.772
,"    Visitantes Nacionales",12.027,17.968,10.845,12.045,9.095,9.289,8.690,7.413,9.617,9.252,8.037,8.150,8.942,8.097,7.101,7.415,9.672,10.516,11.398,13.049
,"    Visitantes Internacionales",744,966,546,703,663,1.782,800,394,1.228,1.019,536,570,566,639,479,602,628,546,772,723
,"Z.A. de San Gervasio",117.859,107.417,131.724,114.365,98.576,77.224,76.164,90.195,100.186,88.708,137.971,137.080,151.809,171.168,186.970,186.203,205.967,205.323,203.042,134.346
,"    Visitantes Nacionales",29.293,14.419,15.836,13.829,9.727,10.010,9.565,15.966,22.729,16.302,20.036,27.358,32.652,40.640,44.430,56.463,98.391,18.551,22.626,16.599
,"    Visitantes Internacionales",88.566,92.998,115.888,100.536,88.849,67.214,66.599,74.229,77.457,72.406,117.935,109.722,119.157,130.528,142.540,129.740,107.576,186.772,180.416,117.747
,"Z.A. de Tulum",703.494,667.252,793.881,919.797,1.071.286,978.866,932.573,1.059.731,1.351.879,992.134,992.964,1.085.288,1.199.312,1.289.343,1.391.542,1.508.847,1.773.929,2.207.446,2.189.536,1.996.544
,"    Visitantes Nacionales",224.412,180.643,186.849,269.356,382.011,336.319,317.144,303.180,512.409,387.412,335.804,415.224,489.295,461.161,581.809,756.828,769.192,879.315,842.861,851.337
,"    Visitantes Internacionales",479.082,486.609,607.032,650.441,689.275,642.547,615.429,756.551,839.470,604.722,657.160,670.064,710.017,828.182,809.733,752.019,1.004.737,1.328.131,1.346.675,1.145.207
,"Z.A. de Xcaret",7,16,57,6,7,7,14,4,8,12,27,30,261,118,91,33,62,220,134,200
,"    Visitantes Nacionales",5,6,44,6,7,0,14,4,6,0,20,30,258,111,89,25,62,204,120,187
,"    Visitantes Internacionales",2,10,13,0,0,7,0,0,2,12,7,0,3,7,2,8,0,16,14,13
,"Z.A. de Xelhá",3.999,3.443,3.156,2.224,1.645,995,2.134,3.540,2.433,1.918,2.198,1.874,2.429,2.037,2.285,1.919,2.712,2.799,2.949,2.919
,"    Visitantes Nacionales",2.111,1.978,1.496,1.063,951,526,1.044,1.327,1.448,1.353,1.733,1.490,1.800,1.522,1.788,1.400,2.081,2.009,2.072,1.951
,"    Visitantes Internacionales",1.888,1.465,1.660,1.161,694,469,1.090,2.213,985,565,465,384,629,515,497,519,631,790,877,968
,"Z.A. de Calica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"    Visitantes Nacionales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"    Visitantes Internacionales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Z.A. de Playa del Carmen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,220,0,0
,"    Visitantes Nacionales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,204,0,0
,"    Visitantes Internacionales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0
,,,,,,,,,,,,,,,,,,,,,
"San Luis Potosí",,7.942,6.963,0,0,0,0,0,0,0,9.547,14.535,7.845,7.523,7.084,8.648,10.981,15.693,14.695,16.335,17.442
,"    Visitantes Nacionales",7.540,6.473,0,0,0,0,0,0,0,9.215,14.239,7.705,7.461,6.970,8.525,10.846,15.516,14.585,16.154,17.301
,"    Visitantes Internacionales",402,490,0,0,0,0,0,0,0,332,296,140,62,114,123,135,177,110,181,141
,"Z.A. de Tamohí",7.942,6.963,0,0,0,0,0,0,0,5.071,6.360,3.038,2.675,3.073,3.446,4.545,4.756,3.863,3.893,3.361
,"    Visitantes Nacionales",7.540,6.473,0,0,0,0,0,0,0,4.884,6.218,2.971,2.642,2.998,3.399,4.445,4.637,3.769,3.751,3.262
,"    Visitantes Internacionales",402,490,0,0,0,0,0,0,0,187,142,67,33,75,47,100,119,94,142,99
,"Z.A. de Tamtoc",0,0,0,0,0,0,0,0,0,4.476,8.175,4.807,4.848,4.011,5.202,6.436,10.937,10.832,12.442,14.081
,"    Visitantes Nacionales",0,0,0,0,0,0,0,0,0,4.331,8.021,4.734,4.819,3.972,5.126,6.401,10.879,10.816,12.403,14.039
,"    Visitantes Internacionales",0,0,0,0,0,0,0,0,0,145,154,73,29,39,76,35,58,16,39,42
,,,,,,,,,,,,,,,,,,,,,
"Sinaloa",,0,0,0,0,0,0,0,0,0,0,0,0,0,7.499,15.010,18.198,11.402,13.023,13.412,13.936
,"    Visitantes Nacionales",0,0,0,0,0,0,0,0,0,0,0,0,0,7.499,14.889,17.946,10.740,12.265,12.602,12.965
,"    Visitantes Internacionales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,252,662,758,810,971
,"Las Labradas",0,0,0,0,0,0,0,0,0,0,0,0,0,7.499,15.010,18.198,11.402,13.023,13.412,13.936
,"    Visitantes Nacionales",0,0,0,0,0,0,0,0,0,0,0,0,0,7.499,14.889,17.946,10.740,12.265,12.602,12.965
,"    Visitantes Internacionales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,252,662,758,810,971
,,,,,,,,,,,,,,,,,,,,,
"Sonora",,0,0,0,0,0,0,0,0,0,0,0,0,1.625,2.813,3.499,6.077,6.568,2.659,29.615,2.848
,"    Visitantes Nacionales",0,0,0,0,0,0,0,0,0,0,0,0,1.562,2.680,3.370,5.795,6.296,2.508,28.030,2.786
,"    Visitantes Internacionales",0,0,0,0,0,0,0,0,0,0,0,0,63,133,129,282,272,151,1.585,62
,"Z.A. de Cerro de las Trincheras",0,0,0,0,0,0,0,0,0,0,0,0,1.625,2.813,3.499,6.077,6.568,2.659,29.615,2.848
,"    Visitantes Nacionales",0,0,0,0,0,0,0,0,0,0,0,0,1.562,2.680,3.370,5.795,6.296,2.508,28.030,2.786
,"    Visitantes Internacionales",0,0,0,0,0,0,0,0,0,0,0,0,63,133,129,282,272,151,1.585,62
,,,,,,,,,,,,,,,,,,,,,
"Tabasco",,77.333,78.610,85.323,88.785,112.988,121.260,117.084,92.900,110.450,119.404,110.617,100.115,112.369,109.985,108.124,95.475,69.739,64.656,97.228,93.984
,"    Visitantes Nacionales",75.242,76.650,83.429,86.505,109.801,117.843,112.891,89.455,107.347,116.106,107.517,97.254,110.266,107.560,105.779,92.653,67.145,62.652,96.303,92.995
,"    Visitantes Internacionales",2.091,1.960,1.894,2.280,3.187,3.417,4.193,3.445,3.103,3.298,3.100,2.861,2.103,2.425,2.345,2.822,2.594,2.004,925,989
,"Z.A. de Comalcalco con museo de sitio",55.828,57.065,58.898,65.036,81.631,83.400,75.362,54.655,78.508,87.453,76.907,72.626,91.186,85.648,78.475,75.707,46.508,42.239,69.306,70.052
,"    Visitantes Nacionales",54.544,55.628,57.626,63.231,79.296,81.233,73.457,52.820,76.696,85.310,75.275,71.248,89.587,83.872,76.866,73.411,44.164,40.638,68.764,69.441
,"    Visitantes Internacionales",1.284,1.437,1.272,1.805,2.335,2.167,1.905,1.835,1.812,2.143,1.632,1.378,1.599,1.776,1.609,2.296,2.344,1.601,542,611
,"Z.A. de La Venta con museo de sitio",11.546,11.570,15.171,14.203,16.434,22.002,25.848,25.287,21.016,24.936,24.930,19.929,13.760,15.241,19.772,14.377,16.501,15.480,14.076,7.429
,"    Visitantes Nacionales",10.807,11.115,14.684,13.832,15.828,20.927,23.870,24.091,19.840,23.906,24.062,19.159,13.296,14.609,19.184,13.989,16.262,15.212,13.778,7.062
,"    Visitantes Internacionales",739,455,487,371,606,1.075,1.978,1.196,1.176,1.030,868,770,464,632,588,388,239,268,298,367
,"Z.A. de Malpasito",3.725,3.503,4.154,3.623,3.875,3.344,3.198,2.854,2.174,2.259,1.614,1.535,2.004,1.380,1.457,2.020,2.168,1.813,1.663,1.665
,"    Visitantes Nacionales",3.685,3.470,4.110,3.607,3.859,3.313,3.160,2.712,2.161,2.252,1.572,1.377,1.999,1.363,1.432,2.001,2.157,1.681,1.583,1.654
,"    Visitantes Internacionales",40,33,44,16,16,31,38,142,13,7,42,158,5,17,25,19,11,132,80,11
,"Z.A. de Moral-Reforma",2.113,2.326,4.319,3.220,3.905,5.917,5.184,1.727,4.460,1.180,2.165,2.834,2.915,4.323,2.791,1.221,2.430,3.035,8.516,10.807
,"    Visitantes Nacionales",2.105,2.315,4.283,3.173,3.730,5.889,5.095,1.727,4.441,1.163,2.110,2.574,2.914,4.323,2.758,1.197,2.430,3.035,8.516,10.807
,"    Visitantes Internacionales",8,11,36,47,175,28,89,0,19,17,55,260,1,0,33,24,0,0,0,0
,"Z.A. de Pomoná con museo de sitio",2.254,2.571,1.672,1.601,6.361,5.930,7.035,7.896,3.141,2.016,3.682,2.365,1.556,2.071,4.002,1.413,1.748,1.827,3.193,3.534
,"    Visitantes Nacionales",2.238,2.557,1.634,1.571,6.327,5.826,6.934,7.664,3.077,1.925,3.207,2.183,1.522,2.071,3.920,1.327,1.748,1.824,3.188,3.534
,"    Visitantes Internacionales",16,14,38,30,34,104,101,232,64,91,475,182,34,0,82,86,0,3,5,0
,"Z.A. de San Claudio",1.867,1.575,1.109,1.102,782,667,457,481,1.151,1.560,1.319,826,948,1.322,1.627,737,384,262,474,497
,"    Visitantes Nacionales",1.863,1.565,1.092,1.091,761,655,375,441,1.132,1.550,1.291,713,948,1.322,1.619,728,384,262,474,497
,"    Visitantes Internacionales",4,10,17,11,21,12,82,40,19,10,28,113,0,0,8,9,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
"Tamaulipas",,15.902,15.773,6.293,7.846,8.287,6.425,7.729,6.245,5.638,2.671,931,828,725,2.972,2.736,3.356,3.775,4.044,4.114,3.871
,"    Visitantes Nacionales",10.187,10.569,5.450,6.119,6.286,5.357,6.927,5.847,5.200,2.496,859,805,709,2.871,2.661,3.269,3.749,3.994,4.013,3.822
,"    Visitantes Internacionales",5.715,5.204,843,1.727,2.001,1.068,802,398,438,175,72,23,16,101,75,87,26,50,101,49
,"Z.A. de El Sabinito",354,308,1.075,398,747,1.010,632,364,545,451,189,317,274,378,377,516,901,895,1.063,913
,"    Visitantes Nacionales",304,235,946,338,717,972,597,357,503,407,162,317,268,378,368,503,901,895,1.063,912
,"    Visitantes Internacionales",50,73,129,60,30,38,35,7,42,44,27,0,6,0,9,13,0,0,0,1
