0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,ciudad
214485585.73197868,19383640.966307767,670727120.9140046,7893656.898644219,21754088.568040732,31995608.891205743,559040940.9460118,10212095.865442332,18190800.72010539,9031121.905731436,0.0,159902558.2923706,22303800.389355913,16338146.453198735,29557788.620773196,125226603.20650508,8235682.5968967825,123333600.030136,26353571.37187636,38224612.11610238,34424513.72214634,17797113.00374691,8782740.889825422,62523546.07583027,176949866.50869992,12491818.522551835,14388185.214695629,11783120.545070626,28398287.440207746,45787702.07934631,12190413.501397748,11142802.47498404,35807504.175669946,12194506.029197019,13745402.493857546,17797131.275279317,16895064.469741832,75990362.63969691,24771408.68824579,5492083.203278391,Durango
109804852.57773465,143047231.06969786,603284959.0897748,164720258.74971014,149165817.43202505,137010107.58001694,422214745.5566153,163853435.71260667,145750494.95681348,163581482.87304062,159902558.29237056,0.0,143538863.29972345,173967565.39736804,133462984.25847302,95593081.88007796,164583756.93019795,83671819.77009688,136340330.19749516,127208568.06134489,131454161.55544513,175282306.79795355,163452874.42501354,106962891.6227226,126113532.43005326,170296520.88363758,172124768.02249444,155567615.74319407,135029362.7874231,128484624.28554562,154186628.40231988,168718958.0518344,129047119.60272451,170584872.8861646,150520748.5308616,175282290.91055596,151778091.68118852,93194283.29412174,140298254.76950336,164746490.8336113,Guadalajara
196142219.8474799,14446861.376072703,660815258.4522309,25283974.059234813,21727774.43213356,24697999.558075998,545315702.5703076,28869210.838731118,16703806.161073402,26068324.258682933,22303800.389355913,143538863.29972345,0.0,35246465.60615949,20707981.377838895,110070318.73081942,25777805.49330428,104883748.10919805,11532484.82303584,26443275.18802366,28182482.526913475,36460247.30405582,26968553.262385346,48945955.95992904,162719805.75808194,32144614.14957802,33581848.803420335,16195682.027493702,14478370.911042409,33889032.06837621,14929868.7394568,30651433.130367722,25932700.473273512,31875233.46131078,13998455.87332352,36460255.65047367,28244843.5171688,63690108.764054306,15138907.23893612,26177060.352263425,Hermosillo
226993168.86678326,35169483.44278502,675508659.0107251,11226006.586117825,30370542.41821171,46918570.1450665,572549698.6093354,11669857.811068796,30210250.50788953,12668092.215635015,16338146.453198735,173967565.39736804,35246465.60615949,0.0,44247574.4770723,135212583.24223518,10705293.056427814,134998886.13323146,40973811.02758009,50711856.012904465,50039665.457649395,1567121.3805913732,15920258.068725517,77035086.38531746,185587902.62214518,4785554.614065774,2769719.190441342,20989099.680124473,42459477.9194968,56342426.655202076,22635972.235766586,6441152.8256899975,50369827.131760016,4260727.113114998,25265860.354861032,1567336.158708977,28086770.01466754,91125680.5397386,39308452.419349484,12017986.617221411,Heroica Matamoros
187544246.31138206,14841885.238138003,653671811.1768817,35683652.70580623,22156571.29538071,16099802.164699672,531285821.6569716,34356303.07339881,18219898.375133403,32408859.996673837,29557788.620773196,133462984.25847302,20707981.377838895,44247574.4770723,0.0,102176684.39657299,34728904.63079692,98365623.17456852,16892398.364779186,16128297.5965387,21786145.495494682,45705995.010169275,31127981.15746745,34958195.85846913,155434770.41313455,40967028.7778807,42232298.97369299,27232156.051834874,10739816.207460511,25911413.34846022,24576118.604539927,39636911.25330061,12951322.370239418,40497584.131077126,22525062.938674662,45706001.53397296,25053619.49979936,49403093.9699333,12313988.810175382,33614305.54807826,León
110234434.59246063,111386710.18436494,563803310.6414587,128520230.79125766,107913389.29430477,109209826.14216685,452958267.7793961,126999428.39220601,109495263.38316989,125161671.25889757,125226603.20650509,95593081.88007796,110070318.73081943,135212583.24223518,102176684.39657299,0.0,126554626.42121401,48841129.85705679,107320256.5467501,89946791.8375761,108927498.2294736,136328702.3747444,125869004.83917904,84424460.24270466,64264607.759230085,133223185.87385437,134063259.71872523,117789552.81220327,100440085.12322402,84816537.20132512,116042390.95485032,132184028.47225441,97435111.1828432,132885693.03872041,114003488.22259936,136328700.852125,118271834.1730705,84032884.3220083,107854322.40001166,128459816.29304665,Mazatlán
217205388.7379316,25375736.299736902,669874986.8418163,4779380.341599402,21886736.197159022,38618407.581718184,563021676.4389334,8270826.920332201,20331586.676117096,7187608.964007333,8235682.5968967825,164583756.93019795,25777805.49330428,10705293.056427814,34728904.63079692,126554626.42121401,0.0,125345555.64762503,31007519.45778348,41076908.66997393,40718879.79984848,12058171.402133768,10684780.598515619,67805435.44443664,177612475.03973243,7879018.846839892,9627586.636486953,11847144.877942575,32361074.64140278,47107486.180228055,13120953.302261673,7032953.745179644,40209464.61741756,7609877.796240123,15305310.643063035,12058198.128743725,20389520.277178403,81368987.56227788,30351948.513840217,6422464.997088426,Mexicali
101133659.05637592,107360762.99519108,587094303.4065628,126817306.18758722,106124099.46489859,104770364.03330125,456419709.8489097,126883370.09030604,107001793.39314762,124264583.2318076,123333600.03013602,83671819.77009688,104883748.10919805,134998886.13323146,98365623.17456852,48841129.85705679,125345555.64762503,0.0,101878872.22930992,87528806.83667845,105025155.57046531,136173644.29971924,124867805.7632236,79384458.75441496,86198666.64238286,132699554.21535216,133687822.70748752,114996042.77389355,95760240.47974415,80845376.13276972,113595621.32284117,131451097.29994513,92510377.79002629,132331251.57292052,110912919.36781345,136173639.64296243,117929066.9249143,77659852.30065735,103631814.85371737,127060336.51202117,Monterrey
191819707.80910045,13539876.543515759,660655556.1702689,30332927.767732587,25666206.694521632,24119188.099355556,539014340.6979803,33094825.41946914,17201747.560053565,31779046.569508456,26353571.37187636,136340330.19749516,11532484.82303584,40973811.02758009,16892398.364779186,107320256.54675011,31007519.45778348,101878872.22930992,0.0,23996199.674341336,19355188.60119812,42295197.61094279,31897760.050296836,44308468.41000368,161533789.76399174,37136190.10123343,39350307.39462024,23206539.721954137,12951115.712121524,32798788.86085884,21444418.88954947,35478867.73677832,20558540.536567327,37321711.53878278,18635456.85402557,42295195.38473108,26088693.11578794,54667256.98376236,17541386.373234328,31150425.39343485,Morelia
179032957.19601008,24642624.60003176,641319457.0379819,42917624.9694517,23342788.458820485,27532107.436156154,523422129.32843673,41199961.94976763,22800046.520887583,39399735.86381944,38224612.11610238,127208568.06134489,26443275.18802366,50711856.012904465,16128297.596538693,89946791.8375761,41076908.66997393,87528806.83667845,23996199.674341336,0.0,29638197.5940322,52054000.96553058,39556201.62890012,33639427.42304784,142405609.8676295,47918673.0776526,49053678.8532212,32401649.360311687,14625886.66459768,15473918.029067833,30566554.42320424,46719510.48720672,14455215.02796323,47595324.93835454,27637841.512398116,52053966.06150138,32614626.840904504,48395101.74447158,22445101.433287382,41999266.036479756,Mérida
